Phone_NOTENG,Phone_ENG,Econ,Loc,Glob,Acoustic distance
bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06188531789265994
bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6642842616050801
bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6536219014136302
bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.21983726570349926
bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402
bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402
bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32469559064381937
d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5392456792684497
d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.30164056720466004
d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5351366496659202
d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.91295934236769
d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11503790598642993
d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.72666523095823
d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.27898720356059004
ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4782646569111302
ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17303232959971027
ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.6205589829248996
ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8560023026263899
ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.2766760438139597
ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9161582600343396
ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5885329657906304
ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6880819151426705
ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20167511999016963
ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5454183939365498
ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8347154444039999
ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.3368152204949002
ɖʰ,k,0.04786680541,0.08532778356,0.2474881015,-0.7709263319759998
ɖʰ,ð,0.04786680541,0.08532778356,0.2474881015,-0.11512523452443002
dʒʰ,d,0.01668520578,0.1062291435,0.1239388795,-0.4337021906059393
dʒʰ,z,0.01668520578,0.1062291435,0.1239388795,-0.6711625586113801
dʒʰ,t,0.01668520578,0.1062291435,0.1239388795,-0.76136525128921
dʒʰ,s,0.01668520578,0.1062291435,0.1239388795,-0.7233715363913
dʒʰ,d͡ʒ,0.01668520578,0.1062291435,0.1239388795,0.24729505138737995
dʒʰ,t͡ʃ,0.01668520578,0.1062291435,0.1239388795,-0.3776279406275602
ɡʰ,b,0.01668520578,0.1062291435,0.1516694963,-0.44747281090639035
ɡʰ,d,0.01668520578,0.1062291435,0.1516694963,-0.45203414309149004
ɡʰ,g,0.01668520578,0.1062291435,0.1516694963,0.20167511999016963
ɡʰ,p,0.01668520578,0.1062291435,0.1516694963,-0.7803948123287303
ɡʰ,t,0.01668520578,0.1062291435,0.1516694963,-0.96652040763977
ɡʰ,k,0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899
ɳ,n,0.3817204301,0.125,-0.07661290323,0.5488773405907104
ɳ,j,0.3817204301,0.125,-0.07661290323,0.24445951631444007
ɽ,b,0.0770609319,0.1326164875,0.1553166069,-1.6145363814646698
ɽ,d,0.0770609319,0.1326164875,0.1553166069,0.1273314591426704
ɽ,g,0.0770609319,0.1326164875,0.1553166069,-0.5383197016130903
ɽ,p,0.0770609319,0.1326164875,0.1553166069,-1.1125081947960198
ɽ,t,0.0770609319,0.1326164875,0.1553166069,-0.09712090082286995
ɽ,k,0.0770609319,0.1326164875,0.1553166069,-1.78989514613954
ɽ,ð,0.0770609319,0.1326164875,0.1553166069,-0.44747281090639035
ɽ,ɾ,0.0770609319,0.1326164875,0.1553166069,0.24729505138737995
ʈ,t,0.3817204301,0.1827956989,-0.08870967742,0.1399831124832005
ʈ,d,0.3817204301,0.1827956989,-0.08870967742,-0.2624025579279401
ɣ,g,0.2367172676,0.1385199241,0.1266603416,0.07222050747409003
ɣ,k,0.2367172676,0.1385199241,0.1266603416,-0.5383197016130903
ɣ,h,0.2367172676,0.1385199241,0.1266603416,-0.38921941048690023
x,k,0.295436664,0.1931348222,-0.03618134263,-0.36795391487243023
x,h,0.295436664,0.1931348222,-0.03618134263,0.2886512920025499
x,s,0.295436664,0.1931348222,-0.03618134263,-0.8716119681921399
x,ʃ,0.295436664,0.1931348222,-0.03618134263,-0.6083012001128001
