CORR_ANS,item_TGT,item_OTH,item_X,tripletid,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
A,ewan_10,ewan_17,amelia_vowels_10,stimulus21_A,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,ewan.wav,49.0225,49.8125,HEEDAH,ewan,V,A,i,amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ
B,ewan_14,ewan_21,amelia_vowels_14,stimulus22_B,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,amelia_vowels.wav,35.597,36.2991,HAEDI,amelia,V,I,æ
B,amelia_vowels_21,amelia_vowels_14,ewan_21,stimulus23_B,amelia_vowels.wav,55.37294,56.1625,HEEDI,amelia,V,I,i,amelia_vowels.wav,35.597,36.2991,HAEDI,amelia,V,I,æ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i
A,amelia_vowels_17,amelia_vowels_10,ewan_17,stimulus24_A,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,ewan.wav,49.0225,49.8125,HEEDAH,ewan,V,A,i
A,amelia_vowels_10,amelia_vowels_33,ewan_10,stimulus25_A,amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ
B,amelia_vowels_14,amelia_vowels_37,ewan_14,stimulus26_B,amelia_vowels.wav,35.597,36.2991,HAEDI,amelia,V,I,æ,amelia_vowels.wav,97.03204,97.7525,HOODI,amelia,V,I,ʊ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ
B,ewan_37,ewan_14,amelia_vowels_37,stimulus27_B,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,amelia_vowels.wav,97.03204,97.7525,HOODI,amelia,V,I,ʊ
A,ewan_33,ewan_10,amelia_vowels_33,stimulus28_A,ewan.wav,97.48359,98.1925,HOODAH,ewan,V,A,ʊ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
A,ewan_10,ewan_25,amelia_vowels_10,stimulus29_A,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,ewan.wav,73.0025,73.8125,HUHDAH,ewan,V,A,ʌ,amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ
B,amelia_vowels_10,amelia_vowels_25,ewan_10,stimulus30_B,amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ
B,amelia_vowels_29,amelia_vowels_14,ewan_29,stimulus31_B,amelia_vowels.wav,77.21549,77.88257,HUHDI,amelia,V,I,ʌ,amelia_vowels.wav,35.597,36.2991,HAEDI,amelia,V,I,æ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ
A,ewan_29,ewan_14,amelia_vowels_29,stimulus32_A,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,amelia_vowels.wav,77.21549,77.88257,HUHDI,amelia,V,I,ʌ
A,amelia_vowels_10,amelia_vowels_41,ewan_10,stimulus33_A,amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ
B,amelia_vowels_14,amelia_vowels_45,ewan_14,stimulus34_B,amelia_vowels.wav,35.597,36.2991,HAEDI,amelia,V,I,æ,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ
B,ewan_45,ewan_14,amelia_vowels_45,stimulus35_B,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u
A,ewan_41,ewan_10,amelia_vowels_41,stimulus36_A,ewan.wav,121.1525,121.8625,WHODAH,ewan,V,A,u,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u
A,ewan_22,ewan_37,amelia_vowels_22,stimulus37_A,ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i
B,amelia_vowels_22,amelia_vowels_37,ewan_22,stimulus38_B,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,amelia_vowels.wav,97.03204,97.7525,HOODI,amelia,V,I,ʊ,ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i
B,ewan_33,ewan_18,amelia_vowels_33,stimulus39_B,ewan.wav,97.48359,98.1925,HOODAH,ewan,V,A,ʊ,ewan.wav,51.6225,52.3425,HEEDAH,ewan,V,A,i,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
A,amelia_vowels_33,amelia_vowels_18,ewan_33,stimulus40_A,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,amelia_vowels.wav,46.44523,47.1525,HEEDAH,amelia,V,A,i,ewan.wav,97.48359,98.1925,HOODAH,ewan,V,A,ʊ
A,ewan_22,ewan_29,amelia_vowels_22,stimulus41_A,ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i
B,amelia_vowels_22,amelia_vowels_29,ewan_22,stimulus42_B,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,amelia_vowels.wav,77.21549,77.88257,HUHDI,amelia,V,I,ʌ,ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i
B,amelia_vowels_25,amelia_vowels_18,ewan_25,stimulus43_B,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,amelia_vowels.wav,46.44523,47.1525,HEEDAH,amelia,V,A,i,ewan.wav,73.0025,73.8125,HUHDAH,ewan,V,A,ʌ
A,ewan_25,ewan_18,amelia_vowels_25,stimulus44_A,ewan.wav,73.0025,73.8125,HUHDAH,ewan,V,A,ʌ,ewan.wav,51.6225,52.3425,HEEDAH,ewan,V,A,i,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ
A,ewan_18,ewan_41,amelia_vowels_18,stimulus45_A,ewan.wav,51.6225,52.3425,HEEDAH,ewan,V,A,i,ewan.wav,121.1525,121.8625,WHODAH,ewan,V,A,u,amelia_vowels.wav,46.44523,47.1525,HEEDAH,amelia,V,A,i
B,amelia_vowels_18,amelia_vowels_41,ewan_18,stimulus46_B,amelia_vowels.wav,46.44523,47.1525,HEEDAH,amelia,V,A,i,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,51.6225,52.3425,HEEDAH,ewan,V,A,i
B,amelia_vowels_45,amelia_vowels_22,ewan_45,stimulus47_B,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u
A,ewan_45,ewan_22,amelia_vowels_45,stimulus48_A,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u
A,amelia_vowels_34,amelia_vowels_25,ewan_34,stimulus49_A,amelia_vowels.wav,89.37938,90.0925,HOODAH,amelia,V,A,ʊ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ
B,ewan_38,ewan_29,amelia_vowels_38,stimulus50_B,ewan.wav,111.6225,112.2625,HOODI,ewan,V,I,ʊ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,amelia_vowels.wav,99.36865,100.07357,HOODI,amelia,V,I,ʊ
B,amelia_vowels_29,amelia_vowels_38,ewan_29,stimulus51_B,amelia_vowels.wav,77.21549,77.88257,HUHDI,amelia,V,I,ʌ,amelia_vowels.wav,99.36865,100.07357,HOODI,amelia,V,I,ʊ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ
A,ewan_25,ewan_34,amelia_vowels_25,stimulus52_A,ewan.wav,73.0025,73.8125,HUHDAH,ewan,V,A,ʌ,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ
A,ewan_34,ewan_41,amelia_vowels_34,stimulus53_A,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,121.1525,121.8625,WHODAH,ewan,V,A,u,amelia_vowels.wav,89.37938,90.0925,HOODAH,amelia,V,A,ʊ
B,amelia_vowels_34,amelia_vowels_41,ewan_34,stimulus54_B,amelia_vowels.wav,89.37938,90.0925,HOODAH,amelia,V,A,ʊ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ
B,amelia_vowels_45,amelia_vowels_38,ewan_45,stimulus55_B,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u,amelia_vowels.wav,99.36865,100.07357,HOODI,amelia,V,I,ʊ,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u
A,ewan_45,ewan_38,amelia_vowels_45,stimulus56_A,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,ewan.wav,111.6225,112.2625,HOODI,ewan,V,I,ʊ,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u
A,ewan_34,ewan_41,amelia_vowels_34,stimulus57_A,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,121.1525,121.8625,WHODAH,ewan,V,A,u,amelia_vowels.wav,89.37938,90.0925,HOODAH,amelia,V,A,ʊ
B,amelia_vowels_38,amelia_vowels_45,ewan_38,stimulus58_B,amelia_vowels.wav,99.36865,100.07357,HOODI,amelia,V,I,ʊ,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u,ewan.wav,111.6225,112.2625,HOODI,ewan,V,I,ʊ
B,ewan_45,ewan_38,amelia_vowels_45,stimulus59_B,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,ewan.wav,111.6225,112.2625,HOODI,ewan,V,I,ʊ,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u
A,amelia_vowels_41,amelia_vowels_34,ewan_41,stimulus60_A,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,amelia_vowels.wav,89.37938,90.0925,HOODAH,amelia,V,A,ʊ,ewan.wav,121.1525,121.8625,WHODAH,ewan,V,A,u
A,amelia_consonants_30,amelia_consonants_23,ewan_78,stimulus61_A,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f
B,ewan_76,ewan_66,amelia_consonants_28,stimulus62_B,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,ewan.wav,196.2025,196.7225,AKAH,ewan,C,A,k,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f
B,ewan_71,ewan_78,amelia_consonants_23,stimulus63_B,ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k
A,amelia_consonants_18,amelia_consonants_28,ewan_66,stimulus64_A,amelia_consonants.wav,47.94524,48.5625,AKAH,amelia,C,A,k,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,ewan.wav,196.2025,196.7225,AKAH,ewan,C,A,k
A,ewan_78,ewan_55,amelia_consonants_30,stimulus65_A,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,ewan.wav,166.2925,166.9025,EEPEE,ewan,C,I,p,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f
B,amelia_consonants_30,amelia_consonants_7,ewan_78,stimulus66_B,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f
B,ewan_50,ewan_76,amelia_consonants_2,stimulus67_B,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,amelia_consonants.wav,5.00997,5.58607,APAH,amelia,C,A,p
A,amelia_consonants_2,amelia_consonants_28,ewan_50,stimulus68_A,amelia_consonants.wav,5.00997,5.58607,APAH,amelia,C,A,p,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p
A,ewan_76,ewan_90,amelia_consonants_28,stimulus69_A,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,ewan.wav,261.8925,262.4725,ASHAH,ewan,C,A,ʃ,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f
B,amelia_consonants_28,amelia_consonants_42,ewan_76,stimulus70_B,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f
B,amelia_consonants_47,amelia_consonants_30,ewan_95,stimulus71_B,amelia_consonants.wav,124.1225,124.8925,EESHEE,amelia,C,I,ʃ,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,ewan.wav,274.4625,274.9925,EESHEE,ewan,C,I,ʃ
A,ewan_95,ewan_78,amelia_consonants_47,stimulus72_A,ewan.wav,274.4625,274.9925,EESHEE,ewan,C,I,ʃ,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,amelia_consonants.wav,124.1225,124.8925,EESHEE,amelia,C,I,ʃ
A,ewan_78,ewan_87,amelia_consonants_30,stimulus73_A,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f
B,amelia_consonants_28,amelia_consonants_34,ewan_76,stimulus74_B,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f
B,amelia_consonants_39,amelia_consonants_30,ewan_87,stimulus75_B,amelia_consonants.wav,104.21429,104.88504,EESSEE,amelia,C,I,s,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s
A,ewan_82,ewan_76,amelia_consonants_34,stimulus76_A,ewan.wav,241.7525,242.2825,ASSAH,ewan,C,A,s,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s
A,amelia_consonants_28,amelia_consonants_50,ewan_76,stimulus77_A,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,amelia_consonants.wav,132.2225,132.8825,ATHAH,amelia,C,A,θ,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f
B,ewan_76,ewan_98,amelia_consonants_28,stimulus78_B,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,ewan.wav,282.1625,282.7725,ATHAH,ewan,C,A,θ,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f
B,amelia_consonants_55,amelia_consonants_30,ewan_103,stimulus79_B,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ
A,ewan_103,ewan_78,amelia_consonants_55,stimulus80_A,ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ
A,ewan_78,ewan_63,amelia_consonants_30,stimulus81_A,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,ewan.wav,187.7525,188.3425,EETEE,ewan,C,I,t,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f
B,amelia_consonants_30,amelia_consonants_15,ewan_78,stimulus82_B,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,amelia_consonants.wav,39.06797,39.6784,EETEE,amelia,C,I,t,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f
B,amelia_consonants_10,amelia_consonants_28,ewan_58,stimulus83_B,amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t
A,ewan_58,ewan_76,amelia_consonants_10,stimulus84_A,ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t
A,ewan_70,ewan_55,amelia_consonants_22,stimulus85_A,ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,ewan.wav,166.2925,166.9025,EEPEE,ewan,C,I,p,amelia_consonants.wav,58.98421,59.67452,EEKEE,amelia,C,I,k
B,ewan_68,ewan_50,amelia_consonants_20,stimulus86_B,ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k
B,amelia_consonants_7,amelia_consonants_22,ewan_55,stimulus87_B,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,amelia_consonants.wav,58.98421,59.67452,EEKEE,amelia,C,I,k,ewan.wav,166.2925,166.9025,EEPEE,ewan,C,I,p
A,amelia_consonants_2,amelia_consonants_20,ewan_50,stimulus88_A,amelia_consonants.wav,5.00997,5.58607,APAH,amelia,C,A,p,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p
A,amelia_consonants_22,amelia_consonants_47,ewan_70,stimulus89_A,amelia_consonants.wav,58.98421,59.67452,EEKEE,amelia,C,I,k,amelia_consonants.wav,124.1225,124.8925,EESHEE,amelia,C,I,ʃ,ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k
B,ewan_70,ewan_95,amelia_consonants_22,stimulus90_B,ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,ewan.wav,274.4625,274.9925,EESHEE,ewan,C,I,ʃ,amelia_consonants.wav,58.98421,59.67452,EEKEE,amelia,C,I,k
B,amelia_consonants_42,amelia_consonants_20,ewan_90,stimulus91_B,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,ewan.wav,261.8925,262.4725,ASHAH,ewan,C,A,ʃ
A,ewan_90,ewan_68,amelia_consonants_42,stimulus92_A,ewan.wav,261.8925,262.4725,ASHAH,ewan,C,A,ʃ,ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ
A,amelia_consonants_22,amelia_consonants_39,ewan_70,stimulus93_A,amelia_consonants.wav,58.98421,59.67452,EEKEE,amelia,C,I,k,amelia_consonants.wav,104.21429,104.88504,EESSEE,amelia,C,I,s,ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k
B,ewan_70,ewan_87,amelia_consonants_22,stimulus94_B,ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,amelia_consonants.wav,58.98421,59.67452,EEKEE,amelia,C,I,k
B,amelia_consonants_34,amelia_consonants_20,ewan_82,stimulus95_B,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,ewan.wav,241.7525,242.2825,ASSAH,ewan,C,A,s
