"File1"	"Silence1"	"File2"	"Silence2"	"File3"	"CORR_ANS"	"filename"
"41"	"amelia_HEEDI1"	"500ms_silence.wav"	"amelia_HUHDI2"	"500ms_silence.wav"	"amelia_HUHDI2"	"B"	"stimulus41"
"42"	"ewan_HUHDI2"	"500ms_silence.wav"	"ewan_HEEDI1"	"500ms_silence.wav"	"ewan_HEEDI1"	"B"	"stimulus42"
"43"	"amelia_HEEDAH4"	"500ms_silence.wav"	"amelia_HUHDAH3"	"500ms_silence.wav"	"amelia_HUHDAH3"	"B"	"stimulus43"
"44"	"ewan_HUHDAH3"	"500ms_silence.wav"	"ewan_HUHDAH3"	"500ms_silence.wav"	"ewan_HUHDAH3"	"A"	"stimulus44"
"45"	"amelia_HEEDI1"	"500ms_silence.wav"	"amelia_WHODI2"	"500ms_silence.wav"	"amelia_WHODI2"	"B"	"stimulus45"
"46"	"ewan_WHODI2"	"500ms_silence.wav"	"ewan_HEEDI1"	"500ms_silence.wav"	"ewan_HEEDI1"	"B"	"stimulus46"
"47"	"amelia_HEEDAH4"	"500ms_silence.wav"	"amelia_WHODAH3"	"500ms_silence.wav"	"amelia_WHODAH3"	"B"	"stimulus47"
"48"	"ewan_WHODAH3"	"500ms_silence.wav"	"ewan_WHODAH3"	"500ms_silence.wav"	"ewan_WHODAH3"	"A"	"stimulus48"
"49"	"amelia_HOODAH4"	"500ms_silence.wav"	"amelia_HUHDAH3"	"500ms_silence.wav"	"amelia_HUHDAH3"	"B"	"stimulus49"
"50"	"ewan_HUHDAH3"	"500ms_silence.wav"	"ewan_HOODAH4"	"500ms_silence.wav"	"ewan_HOODAH4"	"B"	"stimulus50"
"51"	"amelia_HOODI1"	"500ms_silence.wav"	"amelia_HUHDI2"	"500ms_silence.wav"	"amelia_HUHDI2"	"B"	"stimulus51"
"52"	"ewan_HUHDI2"	"500ms_silence.wav"	"ewan_HUHDI2"	"500ms_silence.wav"	"ewan_HUHDI2"	"A"	"stimulus52"
"53"	"ewan_HOODI1"	"500ms_silence.wav"	"ewan_WHODI2"	"500ms_silence.wav"	"ewan_WHODI2"	"B"	"stimulus53"
"54"	"amelia_WHODI2"	"500ms_silence.wav"	"amelia_HOODI1"	"500ms_silence.wav"	"amelia_HOODI1"	"B"	"stimulus54"
"55"	"ewan_HOODAH4"	"500ms_silence.wav"	"ewan_WHODAH3"	"500ms_silence.wav"	"ewan_WHODAH3"	"B"	"stimulus55"
"56"	"amelia_WHODAH3"	"500ms_silence.wav"	"amelia_WHODAH3"	"500ms_silence.wav"	"amelia_WHODAH3"	"A"	"stimulus56"
"57"	"amelia_HOODAH4"	"500ms_silence.wav"	"amelia_WHODAH3"	"500ms_silence.wav"	"amelia_WHODAH3"	"B"	"stimulus57"
"58"	"ewan_WHODAH3"	"500ms_silence.wav"	"ewan_HOODAH4"	"500ms_silence.wav"	"ewan_HOODAH4"	"B"	"stimulus58"
"59"	"ewan_HOODI1"	"500ms_silence.wav"	"ewan_WHODI2"	"500ms_silence.wav"	"ewan_WHODI2"	"B"	"stimulus59"
"60"	"amelia_WHODI2"	"500ms_silence.wav"	"amelia_WHODI2"	"500ms_silence.wav"	"amelia_WHODI2"	"A"	"stimulus60"
"61"	"ewan_AHF3AH"	"500ms_silence.wav"	"ewan_AHKAH4"	"500ms_silence.wav"	"ewan_AHKAH4"	"B"	"stimulus61"
"62"	"amelia_EEKEE1"	"500ms_silence.wav"	"amelia_EEF3EE"	"500ms_silence.wav"	"amelia_EEF3EE"	"B"	"stimulus62"
"63"	"amelia_AHF3AH"	"500ms_silence.wav"	"amelia_AHKAH4"	"500ms_silence.wav"	"amelia_AHKAH4"	"B"	"stimulus63"
"64"	"ewan_EEKEE1"	"500ms_silence.wav"	"ewan_EEKEE1"	"500ms_silence.wav"	"ewan_EEKEE1"	"A"	"stimulus64"
"65"	"ewan_EEF3EE"	"500ms_silence.wav"	"ewan_EEPEE1"	"500ms_silence.wav"	"ewan_EEPEE1"	"B"	"stimulus65"
"66"	"amelia_AHPAH4"	"500ms_silence.wav"	"amelia_AHF3AH"	"500ms_silence.wav"	"amelia_AHF3AH"	"B"	"stimulus66"
"67"	"amelia_AHF3AH"	"500ms_silence.wav"	"amelia_AHPAH4"	"500ms_silence.wav"	"amelia_AHPAH4"	"B"	"stimulus67"
