File1;Silence1;File2;Silence2;File3;CORR_ANS;triplet_id;speak_first;File_A;File_B;File_X;rep_number
Ewan_WHODI.wav;500ms_silence.wav;Ewan_HADI.wav;500ms_silence.wav;Amelia_WHODI.wav;A;56;Ewan;WHO;A;WHO;
Amelia_WHODI3.wav;500ms_silence.wav;Amelia_HAEDI3.wav;500ms_silence.wav;Ewan_WHODI3.wav;A;57;Amel;WHO;AE;WHO;3
Amelia_WHODAH3.wav;500ms_silence.wav;Amelia_HEEDAH3.wav;500ms_silence.wav;Ewan_WHODAH3.wav;A;58;Amel;WHO;EE;WHO;3
Ewan_WHODI2.wav;500ms_silence.wav;Ewan_HOODI2.wav;500ms_silence.wav;Amelia_WHODI2.wav;A;59;Ewan;WHO;OO;WHO;2
Amelia_WHODAH3.wav;500ms_silence.wav;Amelia_HUHDAH3.wav;500ms_silence.wav;Ewan_WHODAH3.wav;A;60;Amel;WHO;UH;WHO;3
Ewan_APAH1.wav;500ms_silence.wav;Ewan_ATAH1.wav;500ms_silence.wav;Amelia_APAH1.wav;A;61;Ewan;P;T;P;1
Ewan_APAH3.wav;500ms_silence.wav;Ewan_AKAH3.wav;500ms_silence.wav;Amelia_APAH3.wav;A;62;Ewan;P;K;P;3
Amelia_EEPEE1.wav;500ms_silence.wav;Amelia_EEFEE1.wav;500ms_silence.wav;Ewan_EEPEE1.wav;A;63;Amel;P;F;P;1
Ewan_EEPEE2.wav;500ms_silence.wav;Ewan_EESSEE2.wav;500ms_silence.wav;Amelia_EEPEE2.wav;A;64;Ewan;P;SS;P;2
Amelia_APAH2.wav;500ms_silence.wav;Amelia_ASHAH2.wav;500ms_silence.wav;Ewan_APAH2.wav;A;65;Amel;P;SH;P;2
Amelia_EEPEE.wav;500ms_silence.wav;Amelia_EETHEE.wav;500ms_silence.wav;Ewan_EEPEE.wav;A;66;Amel;P;TH;P;
Amelia_EETEE3.wav;500ms_silence.wav;Amelia_EEPEE3.wav;500ms_silence.wav;Ewan_EETEE3.wav;A;67;Amel;T;P;T;3
Amelia_ATAH.wav;500ms_silence.wav;Amelia_AKAH.wav;500ms_silence.wav;Ewan_ATAH.wav;A;68;Amel;T;K;T;
Ewan_EETEE3.wav;500ms_silence.wav;Ewan_EEFEE3.wav;500ms_silence.wav;Amelia_EETEE3.wav;A;69;Ewan;T;F;T;3
Ewan_EETEE3.wav;500ms_silence.wav;Ewan_EESSEE3.wav;500ms_silence.wav;Amelia_EETEE3.wav;A;70;Ewan;T;SS;T;3
Amelia_ATAH1.wav;500ms_silence.wav;Amelia_ASHAH1.wav;500ms_silence.wav;Ewan_ATAH1.wav;A;71;Amel;T;SH;T;1
Amelia_ATAH3.wav;500ms_silence.wav;Amelia_ATHAH3.wav;500ms_silence.wav;Ewan_ATAH3.wav;A;72;Amel;T;TH;T;3
Amelia_EEKEE2.wav;500ms_silence.wav;Amelia_EEPEE2.wav;500ms_silence.wav;Ewan_EEKEE2.wav;A;73;Amel;K;P;K;2
Ewan_AKAH1.wav;500ms_silence.wav;Ewan_ATAH1.wav;500ms_silence.wav;Amelia_AKAH1.wav;A;74;Ewan;K;T;K;1
Amelia_AKAH3.wav;500ms_silence.wav;Amelia_AFAH3.wav;500ms_silence.wav;Ewan_AKAH3.wav;A;75;Amel;K;F;K;3
Amelia_EEKEE.wav;500ms_silence.wav;Amelia_EESSEE.wav;500ms_silence.wav;Ewan_EEKEE.wav;A;76;Amel;K;SS;K;
Amelia_AKAH.wav;500ms_silence.wav;Amelia_ASHAH.wav;500ms_silence.wav;Ewan_AKAH.wav;A;77;Amel;K;SH;K;
Ewan_EEKEE1.wav;500ms_silence.wav;Ewan_EETHEE1.wav;500ms_silence.wav;Amelia_EEKEE1.wav;A;78;Ewan;K;TH;K;1
Ewan_EEFEE1.wav;500ms_silence.wav;Ewan_EEPEE1.wav;500ms_silence.wav;Amelia_EEFEE1.wav;A;79;Ewan;F;P;F;1
Amelia_EEFEE3.wav;500ms_silence.wav;Amelia_EETEE3.wav;500ms_silence.wav;Ewan_EEFEE3.wav;A;80;Amel;F;T;F;3
Ewan_EEFEE.wav;500ms_silence.wav;Ewan_EEKEE.wav;500ms_silence.wav;Amelia_EEFEE.wav;A;81;Ewan;F;K;F;
Amelia_EEFEE3.wav;500ms_silence.wav;Amelia_EESSEE3.wav;500ms_silence.wav;Ewan_EEFEE3.wav;A;82;Amel;F;SS;F;3
Ewan_EEFEE2.wav;500ms_silence.wav;Ewan_EESHEE2.wav;500ms_silence.wav;Amelia_EEFEE2.wav;A;83;Ewan;F;SH;F;2
Amelia_EEFEE3.wav;500ms_silence.wav;Amelia_EETHEE3.wav;500ms_silence.wav;Ewan_EEFEE3.wav;A;84;Amel;F;TH;F;3
Amelia_ASSAH2.wav;500ms_silence.wav;Amelia_APAH2.wav;500ms_silence.wav;Ewan_ASSAH2.wav;A;85;Amel;SS;P;SS;2
Ewan_EESSEE1.wav;500ms_silence.wav;Ewan_EETEE1.wav;500ms_silence.wav;Amelia_EESSEE1.wav;A;86;Ewan;SS;T;SS;1
Amelia_ASSAH2.wav;500ms_silence.wav;Amelia_AKAH2.wav;500ms_silence.wav;Ewan_ASSAH2.wav;A;87;Amel;SS;K;SS;2
Amelia_ASSAH2.wav;500ms_silence.wav;Amelia_AFAH2.wav;500ms_silence.wav;Ewan_ASSAH2.wav;A;88;Amel;SS;F;SS;2
Ewan_ASSAH.wav;500ms_silence.wav;Ewan_ASHAH.wav;500ms_silence.wav;Amelia_ASSAH.wav;A;89;Ewan;SS;SH;SS;
Amelia_ASSAH3.wav;500ms_silence.wav;Amelia_ATHAH3.wav;500ms_silence.wav;Ewan_ASSAH3.wav;A;90;Amel;SS;TH;SS;3
Ewan_ASHAH3.wav;500ms_silence.wav;Ewan_APAH3.wav;500ms_silence.wav;Amelia_ASHAH3.wav;A;91;Ewan;SH;P;SH;3
Ewan_ASHAH2.wav;500ms_silence.wav;Ewan_ATAH2.wav;500ms_silence.wav;Amelia_ASHAH2.wav;A;92;Ewan;SH;T;SH;2
Ewan_EESHEE1.wav;500ms_silence.wav;Ewan_EEKEE1.wav;500ms_silence.wav;Amelia_EESHEE1.wav;A;93;Ewan;SH;K;SH;1
Amelia_ASHAH3.wav;500ms_silence.wav;Amelia_AFAH3.wav;500ms_silence.wav;Ewan_ASHAH3.wav;A;94;Amel;SH;F;SH;3
Amelia_ASHAH.wav;500ms_silence.wav;Amelia_ASSAH.wav;500ms_silence.wav;Ewan_ASHAH.wav;A;95;Amel;SH;SS;SH;
Ewan_EESHEE3.wav;500ms_silence.wav;Ewan_EETHEE3.wav;500ms_silence.wav;Amelia_EESHEE3.wav;A;96;Ewan;SH;TH;SH;3
Ewan_ATHAH2.wav;500ms_silence.wav;Ewan_APAH2.wav;500ms_silence.wav;Amelia_ATHAH2.wav;A;97;Ewan;TH;P;TH;2
Ewan_ATHAH.wav;500ms_silence.wav;Ewan_ATAH.wav;500ms_silence.wav;Amelia_ATHAH.wav;A;98;Ewan;TH;T;TH;
Amelia_EETHEE3.wav;500ms_silence.wav;Amelia_EEKEE3.wav;500ms_silence.wav;Ewan_EETHEE3.wav;A;99;Amel;TH;K;TH;3
Ewan_ATHAH3.wav;500ms_silence.wav;Ewan_AFAH3.wav;500ms_silence.wav;Amelia_ATHAH3.wav;A;100;Ewan;TH;F;TH;3
Ewan_EETHEE.wav;500ms_silence.wav;Ewan_EESSEE.wav;500ms_silence.wav;Amelia_EETHEE.wav;A;101;Ewan;TH;SS;TH;
Amelia_EETHEE2.wav;500ms_silence.wav;Amelia_EESHEE2.wav;500ms_silence.wav;Ewan_EETHEE2.wav;A;102;Amel;TH;SH;TH;2
Ewan_APAH1.wav;500ms_silence.wav;Ewan_ATAH1.wav;500ms_silence.wav;Amelia_ATAH1.wav;B;103;Ewan;P;T;T;1
Ewan_EEPEE1.wav;500ms_silence.wav;Ewan_EEKEE1.wav;500ms_silence.wav;Amelia_EEKEE1.wav;B;104;Ewan;P;K;K;1
Amelia_APAH.wav;500ms_silence.wav;Amelia_AFAH.wav;500ms_silence.wav;Ewan_AFAH.wav;B;105;Amel;P;F;F;
