tripletid,distance_normed_filterbank__dtw_pathlength_OTH,distance_normed_filterbank__dtw_pathlength_TGT,distance_normed_filterbank__dtw_sum_OTH,distance_normed_filterbank__dtw_sum_TGT,distance_normed_mfcc__dtw_pathlength_OTH,distance_normed_mfcc__dtw_pathlength_TGT,distance_normed_mfcc__dtw_sum_OTH,distance_normed_mfcc__dtw_sum_TGT,distance_unnormed_filterbank__dtw_pathlength_OTH,distance_unnormed_filterbank__dtw_pathlength_TGT,distance_unnormed_filterbank__dtw_sum_OTH,distance_unnormed_filterbank__dtw_sum_TGT,distance_unnormed_mfcc__dtw_pathlength_OTH,distance_unnormed_mfcc__dtw_pathlength_TGT,distance_unnormed_mfcc__dtw_sum_OTH,distance_unnormed_mfcc__dtw_sum_TGT,CORR_ANS,item_TGT,item_OTH,item_X,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
stimulus75_A,5.05774885832656,3.79074348909074,409.677657524451,322.213196572713,5.62208606557992,5.4042412931454,416.034368852914,399.91385569276,17.9806027098857,14.5885692172818,1528.35123034028,1240.02838346895,11.825057721362,10.6753322185535,1028.78002175849,907.403238577051,A,ewan_43,ewan_10,amelia_vowels_41,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u
stimulus76_A,4.75843962536108,3.87537830462639,371.158290778164,372.036317244134,4.55853080481398,3.87968162779801,351.006871970676,345.291664874023,17.3644266496939,14.1091743330373,1354.42527867612,1340.37156163855,12.6227448071564,8.94712395989206,971.951350151046,858.923900149637,A,ewan_21,ewan_37,amelia_vowels_22,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i
stimulus77_B,4.22461280073312,3.87537830462639,401.338216069646,372.036317244134,4.11713444364956,3.87968162779801,358.190696597512,345.291664874023,15.6874460097837,14.1091743330373,1490.30737092945,1340.37156163855,10.3504872484991,8.94712395989206,931.543852364922,858.923900149637,B,amelia_vowels_22,amelia_vowels_39,ewan_21,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i
stimulus78_B,4.39756445455993,4.06298053366034,404.575929819514,357.54228696211,5.09901203621907,4.77431644557525,423.217999006183,381.94531564602,16.7227383392733,15.5884827142336,1505.0464505346,1356.19799613833,13.7481617252906,11.4607654932482,1168.5937466497,939.782770446356,B,ewan_34,ewan_19,amelia_vowels_33,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
stimulus79_A,4.48665682097521,3.48717303745589,381.365829782893,299.896881221206,4.18216844259386,3.64689238010162,338.755643850103,302.692067548435,16.7411771570846,13.1291527489823,1423.00005835219,1115.9779836635,10.8478066899872,9.0011929855699009,900.36795526894,747.099017802302,A,ewan_14,ewan_8,amelia_vowels_15,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ
stimulus80_A,5.30139107266647,4.06298053366034,440.015459031317,357.54228696211,4.64698498643258,4.77431644557525,385.699753873904,381.94531564602,19.5994373720376,15.5884827142336,1626.75330187912,1356.19799613833,14.1344961223187,11.4607654932482,1173.16317815245,939.782770446356,A,amelia_vowels_33,amelia_vowels_17,ewan_34,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ
stimulus81_A,5.60568984893095,3.87537830462639,470.8779473102,372.036317244134,4.79583988783235,3.87968162779801,374.075511250923,345.291664874023,20.6308130131536,14.1091743330373,1732.9882931049,1340.37156163855,14.2192944096053,8.94712395989206,1123.32425835882,858.923900149637,A,ewan_21,ewan_29,amelia_vowels_22,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i
stimulus82_B,4.71831000600405,3.87537830462639,410.492970522352,372.036317244134,4.64104687908722,3.87968162779801,385.206890964239,345.291664874023,17.0397305207379,14.1091743330373,1482.4565553042,1340.37156163855,12.2066711841878,8.94712395989206,1013.15370828759,858.923900149637,B,amelia_vowels_22,amelia_vowels_30,ewan_21,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i
stimulus83_B,5.04980667238372,3.95044152940679,429.233567152616,327.886646940764,4.70596259230785,4.44356003437991,390.594895161552,368.815482853533,18.998468174259,15.3384007596681,1614.86979481202,1273.08726305245,13.6302532748682,10.8312483699675,1131.31102181406,898.993614707303,B,amelia_vowels_25,amelia_vowels_17,ewan_28,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ
stimulus84_A,4.3788278742792,3.95044152940679,398.473336559407,327.886646940764,4.98897842831646,4.44356003437991,404.107252693633,368.815482853533,19.5311263563883,15.3384007596681,1503.8967294419,1273.08726305245,14.2248413877501,10.8312483699675,1152.21215240776,898.993614707303,A,ewan_28,ewan_19,amelia_vowels_25,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ
stimulus85_A,4.64721236132953,3.69866995004697,390.365838351681,362.469655104604,4.71073651842459,3.65019895541914,390.991131029241,346.768900764819,17.6228925121557,14.4764724569268,1462.70007850892,1346.31193849419,13.4639192173224,9.67149655217452,1117.50529503776,928.463669008754,A,ewan_19,ewan_43,amelia_vowels_17,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i
stimulus86_B,5.25050220975553,3.69866995004697,430.541181199954,362.469655104604,5.06201373759292,3.65019895541914,430.271167695398,346.768900764819,18.3278904852343,14.4764724569268,1502.88701978921,1346.31193849419,13.7679482782881,9.67149655217452,1184.04355193278,928.463669008754,B,amelia_vowels_17,amelia_vowels_41,ewan_19,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i
stimulus87_B,4.59307019583023,4.18237789471523,404.19017723306,368.04925473494,4.69428418639005,4.37135386695183,399.014155843155,380.307786424809,16.6558364383703,15.1472904422494,1465.71360657658,1332.96155891795,13.078358214918,9.75093569430409,1072.42537362328,848.331405404456,B,amelia_vowels_48,amelia_vowels_22,ewan_46,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u
stimulus88_A,4.49608017112482,4.18237789471523,409.143295572358,368.04925473494,4.36875747079366,4.37135386695183,388.819414900636,380.307786424809,16.1920450383012,15.1472904422494,1473.47609848541,1332.96155891795,10.3204288688742,9.75093569430409,980.440742543053,848.331405404456,A,ewan_46,ewan_21,amelia_vowels_48,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u
stimulus89_A,3.7896866837052,4.06298053366034,329.702741482353,357.54228696211,4.45241793123959,4.77431644557525,342.836180705449,381.94531564602,14.4801475721764,15.5884827142336,1259.77283877935,1356.19799613833,10.5390145829327,11.4607654932482,853.660181217551,939.782770446356,A,amelia_vowels_33,amelia_vowels_25,ewan_34,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ
stimulus90_A,5.66724627360785,4.02666354547166,515.719410898314,394.613027456223,5.12244747009591,4.08076040262413,461.020272308632,387.672238249292,21.0034221477512,15.2288894501391,1911.31141544536,1492.43116611363,16.0812681628122,10.939437399031,1447.3141346531,1039.24655290795,A,amelia_vowels_1,amelia_vowels_17,ewan_2,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
stimulus91_B,4.83820054077747,3.9664110973132,420.92344704764,325.245709979682,4.91191063174911,4.24074807313773,397.864761171678,322.296853558468,17.9271058311634,14.754922362714,1559.65820731121,1224.65855610526,11.327596738206,10.6179828768912,974.173319485718,796.348715766843,B,ewan_37,ewan_29,amelia_vowels_39,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ
stimulus92_B,4.83820054077747,3.99646613438102,420.92344704764,307.727892347338,4.91191063174911,4.40234221387449,397.864761171678,334.578008254461,17.9271058311634,14.8686601302395,1559.65820731121,1144.88683002844,11.327596738206,10.4906071137096,974.173319485718,807.77674775564,B,amelia_vowels_30,amelia_vowels_39,ewan_29,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ
stimulus93_A,3.7896866837052,3.95044152940679,329.702741482353,327.886646940764,4.45241793123959,4.44356003437991,342.836180705449,368.815482853533,14.4801475721764,15.3384007596681,1259.77283877935,1273.08726305245,10.5390145829327,10.8312483699675,853.660181217551,898.993614707303,A,ewan_28,ewan_34,amelia_vowels_25,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ
stimulus94_A,3.74762928605837,4.06298053366034,326.043747887078,357.54228696211,4.99419323851557,4.77431644557525,389.547072604215,381.94531564602,14.6961200198364,15.5884827142336,1263.86632170593,1356.19799613833,11.870947999292,11.4607654932482,961.546787942649,939.782770446356,A,ewan_34,ewan_43,amelia_vowels_33,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
stimulus95_B,4.95550523121399,4.06298053366034,376.618397572263,357.54228696211,5.2302885656825,4.77431644557525,392.271642426187,381.94531564602,17.6028784920561,15.5884827142336,1373.02452238038,1356.19799613833,11.3301628986247,11.4607654932482,929.073357687226,939.782770446356,B,amelia_vowels_33,amelia_vowels_41,ewan_34,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ
stimulus96_B,4.01666931311462,4.18237789471523,365.51690749343,368.04925473494,4.84126761805396,4.37135386695183,367.936338972101,380.307786424809,14.8349619798799,15.1472904422494,1364.81650214895,1332.96155891795,11.7055573880104,9.75093569430409,901.327918876803,848.331405404456,B,amelia_vowels_48,amelia_vowels_39,ewan_46,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u
stimulus97_A,4.61092414612699,4.18237789471523,368.873931690159,368.04925473494,4.58098017202898,4.37135386695183,352.735473246231,380.307786424809,16.8676660746723,15.1472904422494,1332.54561989911,1332.96155891795,10.966984855877,9.75093569430409,833.490849046649,848.331405404456,A,ewan_46,ewan_37,amelia_vowels_48,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u
