File1	Silence1	File2	Silence2	File3	CORR_ANS	filename
ewan_EEKEE1.wav	500ms_silence.wav	ewan_EESHEE2.wav	500ms_silence.wav	ewan_EESHEE2.wav	B	stimulus91
ewan_EESHEE2.wav	500ms_silence.wav	ewan_EESHEE2.wav	500ms_silence.wav	ewan_EESHEE2.wav	A	stimulus92
ewan_EEKEE1.wav	500ms_silence.wav	ewan_EESSEE2.wav	500ms_silence.wav	ewan_EESSEE2.wav	B	stimulus93
ewan_ASSAH3.wav	500ms_silence.wav	ewan_AKAH3.wav	500ms_silence.wav	ewan_AKAH3.wav	B	stimulus94
amelia_AKAH3.wav	500ms_silence.wav	amelia_ASSAH3.wav	500ms_silence.wav	amelia_ASSAH3.wav	B	stimulus95
amelia_EESSEE2.wav	500ms_silence.wav	amelia_EESSEE2.wav	500ms_silence.wav	amelia_EESSEE2.wav	A	stimulus96
amelia_EEKEE1.wav	500ms_silence.wav	amelia_EETHEE2.wav	500ms_silence.wav	amelia_EETHEE2.wav	B	stimulus97
ewan_ATHAH3.wav	500ms_silence.wav	ewan_AKAH3.wav	500ms_silence.wav	ewan_AKAH3.wav	B	stimulus98
amelia_EEKEE1.wav	500ms_silence.wav	amelia_EETHEE2.wav	500ms_silence.wav	amelia_EETHEE2.wav	B	stimulus99
ewan_ATHAH3.wav	500ms_silence.wav	ewan_ATHAH3.wav	500ms_silence.wav	ewan_ATHAH3.wav	A	stimulus100
amelia_AKAH3.wav	500ms_silence.wav	amelia_ATAH3.wav	500ms_silence.wav	amelia_ATAH3.wav	B	stimulus101
ewan_EETEE2.wav	500ms_silence.wav	ewan_EEKEE1.wav	500ms_silence.wav	ewan_EEKEE1.wav	B	stimulus102
amelia_AKAH3.wav	500ms_silence.wav	amelia_ATAH3.wav	500ms_silence.wav	amelia_ATAH3.wav	B	stimulus103
ewan_EETEE2.wav	500ms_silence.wav	ewan_EETEE2.wav	500ms_silence.wav	ewan_EETEE2.wav	A	stimulus104
amelia_APAH3.wav	500ms_silence.wav	amelia_ASHAH3.wav	500ms_silence.wav	amelia_ASHAH3.wav	B	stimulus105
amelia_ASHAH3.wav	500ms_silence.wav	amelia_APAH3.wav	500ms_silence.wav	amelia_APAH3.wav	B	stimulus106
ewan_EEPEE1.wav	500ms_silence.wav	ewan_EESHEE2.wav	500ms_silence.wav	ewan_EESHEE2.wav	B	stimulus107
ewan_EESHEE2.wav	500ms_silence.wav	ewan_EESHEE2.wav	500ms_silence.wav	ewan_EESHEE2.wav	A	stimulus108
amelia_APAH3.wav	500ms_silence.wav	amelia_ASSAH3.wav	500ms_silence.wav	amelia_ASSAH3.wav	B	stimulus109
ewan_ASSAH3.wav	500ms_silence.wav	ewan_APAH3.wav	500ms_silence.wav	ewan_APAH3.wav	B	stimulus110
amelia_EEPEE1.wav	500ms_silence.wav	amelia_EESSEE2.wav	500ms_silence.wav	amelia_EESSEE2.wav	B	stimulus111
ewan_EESSEE2.wav	500ms_silence.wav	ewan_EESSEE2.wav	500ms_silence.wav	ewan_EESSEE2.wav	A	stimulus112
ewan_EEPEE1.wav	500ms_silence.wav	ewan_EETHEE2.wav	500ms_silence.wav	ewan_EETHEE2.wav	B	stimulus113
ewan_ATHAH3.wav	500ms_silence.wav	ewan_APAH3.wav	500ms_silence.wav	ewan_APAH3.wav	B	stimulus114
amelia_EEPEE1.wav	500ms_silence.wav	amelia_EETHEE2.wav	500ms_silence.wav	amelia_EETHEE2.wav	B	stimulus115
amelia_ATHAH3.wav	500ms_silence.wav	amelia_ATHAH3.wav	500ms_silence.wav	amelia_ATHAH3.wav	A	stimulus116
amelia_APAH3.wav	500ms_silence.wav	amelia_ATAH3.wav	500ms_silence.wav	amelia_ATAH3.wav	B	stimulus117
amelia_EETEE2.wav	500ms_silence.wav	amelia_EEPEE1.wav	500ms_silence.wav	amelia_EEPEE1.wav	B	stimulus118
ewan_EEPEE1.wav	500ms_silence.wav	ewan_EETEE2.wav	500ms_silence.wav	ewan_EETEE2.wav	B	stimulus119
ewan_ATAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	A	stimulus120
ewan_EESHEE1.wav	500ms_silence.wav	ewan_EESSEE2.wav	500ms_silence.wav	ewan_EESSEE2.wav	B	stimulus121
amelia_ASSAH3.wav	500ms_silence.wav	amelia_ASHAH3.wav	500ms_silence.wav	amelia_ASHAH3.wav	B	stimulus122
ewan_ASHAH3.wav	500ms_silence.wav	ewan_ASSAH3.wav	500ms_silence.wav	ewan_ASSAH3.wav	B	stimulus123
amelia_EESSEE2.wav	500ms_silence.wav	amelia_EESSEE2.wav	500ms_silence.wav	amelia_EESSEE2.wav	A	stimulus124
amelia_EESHEE1.wav	500ms_silence.wav	amelia_EETHEE2.wav	500ms_silence.wav	amelia_EETHEE2.wav	B	stimulus125
ewan_ATHAH3.wav	500ms_silence.wav	ewan_ASHAH3.wav	500ms_silence.wav	ewan_ASHAH3.wav	B	stimulus126
amelia_EESHEE1.wav	500ms_silence.wav	amelia_EETHEE2.wav	500ms_silence.wav	amelia_EETHEE2.wav	B	stimulus127
ewan_ATHAH3.wav	500ms_silence.wav	ewan_ATHAH3.wav	500ms_silence.wav	ewan_ATHAH3.wav	A	stimulus128
amelia_EESHEE1.wav	500ms_silence.wav	amelia_EETEE2.wav	500ms_silence.wav	amelia_EETEE2.wav	B	stimulus129
amelia_EETEE2.wav	500ms_silence.wav	amelia_EESHEE1.wav	500ms_silence.wav	amelia_EESHEE1.wav	B	stimulus130
ewan_ASHAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	B	stimulus131
ewan_ATAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	A	stimulus132
ewan_EESSEE1.wav	500ms_silence.wav	ewan_EETHEE2.wav	500ms_silence.wav	ewan_EETHEE2.wav	B	stimulus133
amelia_ATHAH3.wav	500ms_silence.wav	amelia_ASSAH3.wav	500ms_silence.wav	amelia_ASSAH3.wav	B	stimulus134
amelia_ASSAH3.wav	500ms_silence.wav	amelia_ATHAH3.wav	500ms_silence.wav	amelia_ATHAH3.wav	B	stimulus135
ewan_EETHEE2.wav	500ms_silence.wav	ewan_EETHEE2.wav	500ms_silence.wav	ewan_EETHEE2.wav	A	stimulus136
ewan_ASSAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	B	stimulus137
ewan_EETEE2.wav	500ms_silence.wav	ewan_EESSEE1.wav	500ms_silence.wav	ewan_EESSEE1.wav	B	stimulus138
amelia_ASSAH3.wav	500ms_silence.wav	amelia_ATAH3.wav	500ms_silence.wav	amelia_ATAH3.wav	B	stimulus139
amelia_EETEE2.wav	500ms_silence.wav	amelia_EETEE2.wav	500ms_silence.wav	amelia_EETEE2.wav	A	stimulus140
ewan_ATHAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	500ms_silence.wav	ewan_ATAH3.wav	B	stimulus141
amelia_ATAH3.wav	500ms_silence.wav	amelia_ATHAH3.wav	500ms_silence.wav	amelia_ATHAH3.wav	B	stimulus142
amelia_EETHEE1.wav	500ms_silence.wav	amelia_EETEE2.wav	500ms_silence.wav	amelia_EETEE2.wav	B	stimulus143
ewan_EETEE2.wav	500ms_silence.wav	ewan_EETEE2.wav	500ms_silence.wav	ewan_EETEE2.wav	A	stimulus144
