_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,CV_2,context_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
A,amelia_consonants50,stimulus116_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan98,NA,NA,NA,NA,NA
A,amelia_consonants55,stimulus80_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan78,NA,NA,NA,NA,NA
A,amelia_consonants55,stimulus80_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan103,NA,NA,NA,NA,NA
A,amelia_consonants6,stimulus117_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan63,NA,NA,NA,NA,NA
A,amelia_consonants6,stimulus117_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan54,NA,NA,NA,NA,NA
A,amelia_vowels10,stimulus21_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan17,NA,NA,NA,NA,NA
A,amelia_vowels10,stimulus21_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan10,NA,NA,NA,NA,NA
A,amelia_vowels10,stimulus29_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan25,NA,NA,NA,NA,NA
A,amelia_vowels10,stimulus29_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan10,NA,NA,NA,NA,NA
A,amelia_vowels13,stimulus4_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan6,NA,NA,NA,NA,NA
A,amelia_vowels13,stimulus4_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan13,NA,NA,NA,NA,NA
A,amelia_vowels18,stimulus45_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan41,NA,NA,NA,NA,NA
A,amelia_vowels18,stimulus45_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan18,NA,NA,NA,NA,NA
A,amelia_vowels22,stimulus37_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan37,NA,NA,NA,NA,NA
A,amelia_vowels22,stimulus37_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan22,NA,NA,NA,NA,NA
A,amelia_vowels22,stimulus41_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan29,NA,NA,NA,NA,NA
A,amelia_vowels22,stimulus41_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan22,NA,NA,NA,NA,NA
A,amelia_vowels25,stimulus16_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan2,NA,NA,NA,NA,NA
A,amelia_vowels25,stimulus16_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan25,NA,NA,NA,NA,NA
A,amelia_vowels25,stimulus44_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan18,NA,NA,NA,NA,NA
A,amelia_vowels25,stimulus44_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan25,NA,NA,NA,NA,NA
A,amelia_vowels25,stimulus52_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan34,NA,NA,NA,NA,NA
A,amelia_vowels25,stimulus52_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan25,NA,NA,NA,NA,NA
A,amelia_vowels29,stimulus32_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan14,NA,NA,NA,NA,NA
A,amelia_vowels29,stimulus32_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan29,NA,NA,NA,NA,NA
A,amelia_vowels33,stimulus28_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan10,NA,NA,NA,NA,NA
A,amelia_vowels33,stimulus28_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan33,NA,NA,NA,NA,NA
A,amelia_vowels34,stimulus53_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan41,NA,NA,NA,NA,NA
A,amelia_vowels34,stimulus53_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan34,NA,NA,NA,NA,NA
A,amelia_vowels34,stimulus57_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan41,NA,NA,NA,NA,NA
A,amelia_vowels34,stimulus57_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan34,NA,NA,NA,NA,NA
A,amelia_vowels41,stimulus36_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan10,NA,NA,NA,NA,NA
A,amelia_vowels41,stimulus36_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan41,NA,NA,NA,NA,NA
