CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,CV_OTH,context_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,CV_TGT,context_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,amelia_vowels_41,stimulus19_B,amelia_vowels.wav,107.22875,107.96148000000001,WHODAH,amelia,V,A,u,1749.83112050554,V,A,ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,1220.56527387409,V,A,ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH
A,ewan_45,stimulus20_A,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,1389.38863610423,V,I,amelia_vowels.wav,amelia_vowels_6,15.5725,14.8025,ɑ,amelia,HADI,1562.56358035725,V,I,amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI
A,amelia_vowels_10,stimulus21_A,amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,1433.38380025382,V,A,ewan.wav,ewan_17,49.8125,49.0225,i,ewan,HEEDAH,1161.46790991229,V,A,ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
B,amelia_vowels_14,stimulus22_B,amelia_vowels.wav,35.597,36.2991,HAEDI,amelia,V,I,æ,1505.21805413205,V,I,ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI,968.512529681698,V,I,ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
B,ewan_21,stimulus23_B,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,1505.21805413205,V,I,amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI,1304.93637314944,V,I,amelia_vowels.wav,amelia_vowels_21,56.1625,55.37294,i,amelia,HEEDI
A,ewan_17,stimulus24_A,ewan.wav,49.0225,49.8125,HEEDAH,ewan,V,A,i,1433.38380025382,V,A,amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH,1431.86552731183,V,A,amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
A,ewan_10,stimulus25_A,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,1581.68745592522,V,A,amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,1161.46790991229,V,A,amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH
B,ewan_14,stimulus26_B,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,1437.15608982174,V,I,amelia_vowels.wav,amelia_vowels_37,97.7525,97.03204,ʊ,amelia,HOODI,968.512529681698,V,I,amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI
B,amelia_vowels_37,stimulus27_B,amelia_vowels.wav,97.03204000000001,97.7525,HOODI,amelia,V,I,ʊ,1437.15608982174,V,I,ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,1111.7824003408,V,I,ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
A,amelia_vowels_33,stimulus28_A,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,1581.68745592522,V,A,ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH,1333.64367489688,V,A,ewan.wav,ewan_33,98.1925,97.48359,ʊ,ewan,HOODAH
A,amelia_vowels_10,stimulus29_A,amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,1280.92191414634,V,A,ewan.wav,ewan_25,73.8125,73.0025,ʌ,ewan,HUHDAH,1161.46790991229,V,A,ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
B,ewan_10,stimulus30_B,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,1323.45579102426,V,A,amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH,1161.46790991229,V,A,amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH
B,ewan_29,stimulus31_B,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,1070.38958129869,V,I,amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI,1118.5560319687,V,I,amelia_vowels.wav,amelia_vowels_29,77.88257,77.21549,ʌ,amelia,HUHDI
A,amelia_vowels_29,stimulus32_A,amelia_vowels.wav,77.21549,77.88257,HUHDI,amelia,V,I,ʌ,1108.39476852115,V,I,ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,1118.5560319687,V,I,ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI
A,ewan_10,stimulus33_A,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,1528.35123034028,V,A,amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,1161.46790991229,V,A,amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH
B,ewan_14,stimulus34_B,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,1626.86286478672,V,I,amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI,968.512529681698,V,I,amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI
B,amelia_vowels_45,stimulus35_B,amelia_vowels.wav,117.13683,117.88561999999999,WHODI,amelia,V,I,u,1626.86286478672,V,I,ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,1562.56358035725,V,I,ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI
A,amelia_vowels_41,stimulus36_A,amelia_vowels.wav,107.22875,107.96148000000001,WHODAH,amelia,V,A,u,1528.35123034028,V,A,ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH,1220.56527387409,V,A,ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH
A,amelia_vowels_22,stimulus37_A,amelia_vowels.wav,57.64913000000001,58.41293,HEEDI,amelia,V,I,i,1354.42527867612,V,I,ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI,1146.91653141724,V,I,ewan.wav,ewan_22,64.2525,63.5825,i,ewan,HEEDI
B,ewan_22,stimulus38_B,ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i,1222.53489019075,V,I,amelia_vowels.wav,amelia_vowels_37,97.7525,97.03204,ʊ,amelia,HOODI,1146.91653141724,V,I,amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
B,amelia_vowels_33,stimulus39_B,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,1339.3612100035,V,A,ewan.wav,ewan_18,52.3425,51.6225,i,ewan,HEEDAH,1333.64367489688,V,A,ewan.wav,ewan_33,98.1925,97.48359,ʊ,ewan,HOODAH
A,ewan_33,stimulus40_A,ewan.wav,97.48359,98.1925,HOODAH,ewan,V,A,ʊ,1486.53915180227,V,A,amelia_vowels.wav,amelia_vowels_18,47.1525,46.44523,i,amelia,HEEDAH,1333.64367489688,V,A,amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
A,amelia_vowels_22,stimulus41_A,amelia_vowels.wav,57.64913000000001,58.41293,HEEDI,amelia,V,I,i,1732.9882931049,V,I,ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI,1146.91653141724,V,I,ewan.wav,ewan_22,64.2525,63.5825,i,ewan,HEEDI
B,ewan_22,stimulus42_B,ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i,1336.73134445211,V,I,amelia_vowels.wav,amelia_vowels_29,77.88257,77.21549,ʌ,amelia,HUHDI,1146.91653141724,V,I,amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
B,ewan_25,stimulus43_B,ewan.wav,73.0025,73.8125,HUHDAH,ewan,V,A,ʌ,1784.64404308979,V,A,amelia_vowels.wav,amelia_vowels_18,47.1525,46.44523,i,amelia,HEEDAH,1361.1589426052,V,A,amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH
A,amelia_vowels_25,stimulus44_A,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,1353.18857213493,V,A,ewan.wav,ewan_18,52.3425,51.6225,i,ewan,HEEDAH,1361.1589426052,V,A,ewan.wav,ewan_25,73.8125,73.0025,ʌ,ewan,HUHDAH
A,amelia_vowels_18,stimulus45_A,amelia_vowels.wav,46.44523,47.1525,HEEDAH,amelia,V,A,i,1331.9186070838,V,A,ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH,1095.58157044844,V,A,ewan.wav,ewan_18,52.3425,51.6225,i,ewan,HEEDAH
B,ewan_18,stimulus46_B,ewan.wav,51.6225,52.3425,HEEDAH,ewan,V,A,i,1401.81302067838,V,A,amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,1095.58157044844,V,A,amelia_vowels.wav,amelia_vowels_18,47.1525,46.44523,i,amelia,HEEDAH
B,ewan_45,stimulus47_B,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,1670.53936319751,V,I,amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI,1562.56358035725,V,I,amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI
A,amelia_vowels_45,stimulus48_A,amelia_vowels.wav,117.13683,117.88561999999999,WHODI,amelia,V,I,u,1319.77044177279,V,I,ewan.wav,ewan_22,64.2525,63.5825,i,ewan,HEEDI,1562.56358035725,V,I,ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI
A,ewan_34,stimulus49_A,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,1259.77283877935,V,A,amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH,1363.12286255824,V,A,amelia_vowels.wav,amelia_vowels_34,90.0925,89.37938,ʊ,amelia,HOODAH
B,amelia_vowels_38,stimulus50_B,amelia_vowels.wav,99.36865,100.07356999999999,HOODI,amelia,V,I,ʊ,1425.9073804551,V,I,ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI,1151.59851803442,V,I,ewan.wav,ewan_38,112.2625,111.6225,ʊ,ewan,HOODI
B,ewan_29,stimulus51_B,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,1425.9073804551,V,I,amelia_vowels.wav,amelia_vowels_38,100.07357,99.36865,ʊ,amelia,HOODI,1118.5560319687,V,I,amelia_vowels.wav,amelia_vowels_29,77.88257,77.21549,ʌ,amelia,HUHDI
A,amelia_vowels_25,stimulus52_A,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,1259.77283877935,V,A,ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH,1361.1589426052,V,A,ewan.wav,ewan_25,73.8125,73.0025,ʌ,ewan,HUHDAH
A,amelia_vowels_34,stimulus53_A,amelia_vowels.wav,89.37938,90.0925,HOODAH,amelia,V,A,ʊ,1241.98325805265,V,A,ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH,1363.12286255824,V,A,ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,ewan_34,stimulus54_B,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,1373.02452238038,V,A,amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,1363.12286255824,V,A,amelia_vowels.wav,amelia_vowels_34,90.0925,89.37938,ʊ,amelia,HOODAH
B,ewan_45,stimulus55_B,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,1444.30139607437,V,I,amelia_vowels.wav,amelia_vowels_38,100.07357,99.36865,ʊ,amelia,HOODI,1562.56358035725,V,I,amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI
A,amelia_vowels_45,stimulus56_A,amelia_vowels.wav,117.13683,117.88561999999999,WHODI,amelia,V,I,u,1259.40342045423,V,I,ewan.wav,ewan_38,112.2625,111.6225,ʊ,ewan,HOODI,1562.56358035725,V,I,ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI
A,amelia_vowels_34,stimulus57_A,amelia_vowels.wav,89.37938,90.0925,HOODAH,amelia,V,A,ʊ,1241.98325805265,V,A,ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH,1363.12286255824,V,A,ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,ewan_38,stimulus58_B,ewan.wav,111.6225,112.2625,HOODI,ewan,V,I,ʊ,1259.40342045423,V,I,amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI,1151.59851803442,V,I,amelia_vowels.wav,amelia_vowels_38,100.07357,99.36865,ʊ,amelia,HOODI
B,amelia_vowels_45,stimulus59_B,amelia_vowels.wav,117.13683,117.88561999999999,WHODI,amelia,V,I,u,1259.40342045423,V,I,ewan.wav,ewan_38,112.2625,111.6225,ʊ,ewan,HOODI,1562.56358035725,V,I,ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI
A,ewan_41,stimulus60_A,ewan.wav,121.1525,121.8625,WHODAH,ewan,V,A,u,1241.98325805265,V,A,amelia_vowels.wav,amelia_vowels_34,90.0925,89.37938,ʊ,amelia,HOODAH,1219.69635726277,V,A,amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
A,ewan_78,stimulus61_A,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,1232.66321180234,C,I,amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE,1055.24645308625,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
B,amelia_consonants_28,stimulus62_B,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,1298.68325038377,C,A,ewan.wav,ewan_66,196.7225,196.2025,k,ewan,AKAH,1194.73030443019,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,amelia_consonants_23,stimulus63_B,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,1232.59777389669,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE,1003.49789059207,C,I,ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
A,ewan_66,stimulus64_A,ewan.wav,196.2025,196.7225,AKAH,ewan,C,A,k,1298.68325038377,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH,1075.45961414123,C,A,amelia_consonants.wav,amelia_consonants_18,48.5625,47.94524,k,amelia,AKAH
A,amelia_consonants_30,stimulus65_A,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,1232.91509552378,C,I,ewan.wav,ewan_55,166.9025,166.2925,p,ewan,EEPEE,1055.24645308625,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE
B,ewan_78,stimulus66_B,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,1085.58951028551,C,I,amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE,1055.24645308625,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
B,amelia_consonants_2,stimulus67_B,amelia_consonants.wav,5.00997,5.586069999999999,APAH,amelia,C,A,p,1157.61597459874,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,988.981301574784,C,A,ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,ewan_50,stimulus68_A,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,1336.78937556103,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH,988.981301574784,C,A,amelia_consonants.wav,amelia_consonants_2,5.58607,5.00997,p,amelia,APAH
A,amelia_consonants_28,stimulus69_A,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,1477.22042253479,C,A,ewan.wav,ewan_90,262.4725,261.8925,ʃ,ewan,ASHAH,1194.73030443019,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,ewan_76,stimulus70_B,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,1069.40762259418,C,A,amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH,1194.73030443019,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
B,ewan_95,stimulus71_B,ewan.wav,274.4625,274.9925,EESHEE,ewan,C,I,ʃ,1321.63501868661,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,1145.23961083228,C,I,amelia_consonants.wav,amelia_consonants_47,124.8925,124.1225,ʃ,amelia,EESHEE
A,amelia_consonants_47,stimulus72_A,amelia_consonants.wav,124.1225,124.8925,EESHEE,amelia,C,I,ʃ,1187.06373751491,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE,1145.23961083228,C,I,ewan.wav,ewan_95,274.9925,274.4625,ʃ,ewan,EESHEE
A,amelia_consonants_30,stimulus73_A,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,1181.52633191271,C,I,ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,1055.24645308625,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE
