CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,CV_OTH,context_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,CV_TGT,context_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,amelia_vowels_45,stimulus59_B,amelia_vowels.wav,117.13683,117.88561999999999,WHODI,amelia,V,I,u,16.3558885773276,V,I,ewan.wav,ewan_38,112.2625,111.6225,ʊ,ewan,HOODI,19.779285827307,V,I,ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI
A,ewan_41,stimulus60_A,ewan.wav,121.1525,121.8625,WHODAH,ewan,V,A,u,15.146137293325,V,A,amelia_vowels.wav,amelia_vowels_34,90.0925,89.37938,ʊ,amelia,HOODAH,14.5201947293187,V,A,amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
A,ewan_78,stimulus61_A,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,17.8646842290194,C,I,amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE,14.8626260998063,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
B,amelia_consonants_28,stimulus62_B,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,17.5497736538347,C,A,ewan.wav,ewan_66,196.7225,196.2025,k,ewan,AKAH,15.7201355846077,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,amelia_consonants_23,stimulus63_B,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,17.8637358535752,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE,14.7573219204716,C,I,ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
A,ewan_66,stimulus64_A,ewan.wav,196.2025,196.7225,AKAH,ewan,C,A,k,17.5497736538347,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH,16.5455325252496,C,A,amelia_consonants.wav,amelia_consonants_18,48.5625,47.94524,k,amelia,AKAH
A,amelia_consonants_30,stimulus65_A,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,16.0118843574517,C,I,ewan.wav,ewan_55,166.9025,166.2925,p,ewan,EEPEE,14.8626260998063,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE
B,ewan_78,stimulus66_B,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,17.5095082304115,C,I,amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE,14.8626260998063,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
B,amelia_consonants_2,stimulus67_B,amelia_consonants.wav,5.00997,5.586069999999999,APAH,amelia,C,A,p,18.0877496031053,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,15.6981158980124,C,A,ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,ewan_50,stimulus68_A,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,18.3121832268634,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH,15.6981158980124,C,A,amelia_consonants.wav,amelia_consonants_2,5.58607,5.00997,p,amelia,APAH
