CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
A,amelia_vowels_48,stimulus97_A,raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,4.61092414612699,I,V,raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI,4.18237789471523,I,V,raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
A,amelia_vowels_33,stimulus98_A,raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,3.74762928605837,A,V,raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH,4.06298053366034,A,V,raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,ewan_37,stimulus99_B,raw/ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,4.61092414612699,I,V,raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI,3.9664110973132,I,V,raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
B,amelia_vowels_48,stimulus100_B,raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,4.61092414612699,I,V,raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI,4.18237789471523,I,V,raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
B,amelia_vowels_5,stimulus101_B,raw/amelia_vowels.wav,12.5659,13.309679999999998,HADI,amelia,V,I,ɑ,4.43502847172036,I,V,raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI,4.95926823694916,I,V,raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
A,ewan_43,stimulus102_A,raw/ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,3.74762928605837,A,V,raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,3.79074348909074,A,V,raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
A,ewan_80,stimulus103_A,raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,4.9618524217251,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE,3.90007214571073,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
B,amelia_consonants_27,stimulus104_B,raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,4.19808881569357,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH,3.56049319531157,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,amelia_consonants_23,stimulus105_B,raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,4.9618524217251,I,C,raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE,4.11275680341429,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
A,ewan_68,stimulus106_A,raw/ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,4.19808881569357,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH,4.55842086703049,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
A,amelia_consonants_31,stimulus107_A,raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,4.94042624950302,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE,3.90007214571073,I,C,raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
B,ewan_80,stimulus108_B,raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,4.84704820403342,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE,3.90007214571073,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
B,amelia_consonants_3,stimulus109_B,raw/amelia_consonants.wav,7.31359,7.932510000000001,APAH,amelia,C,A,p,4.82418656383192,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,4.01669947148956,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,ewan_50,stimulus110_A,raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,4.6540653447246,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH,4.01669947148956,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
A,amelia_consonants_27,stimulus111_A,raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,4.92870437690295,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,3.56049319531157,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,amelia_vowels_17,stimulus112_B,raw/amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,5.66724627360785,A,V,raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,3.69866995004697,A,V,raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH
B,ewan_76,stimulus113_B,raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,4.12498617799306,A,C,raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH,3.56049319531157,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
B,ewan_96,stimulus114_B,raw/ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,5.49722249408197,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE,4.14474670545948,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
