CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
A,ewan_8,stimulus1_A,raw/ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,338.755643850103,I,V,raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI,318.118983454601,I,V,raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI
B,ewan_2,stimulus2_B,raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,479.810589337422,A,V,raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,387.672238249292,A,V,raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
A,ewan_101,stimulus3_A,raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,299.796728396979,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE,274.094580366487,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_71,stimulus4_A,raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,227.852610647871,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE,232.969733329395,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
B,amelia_consonants_20,stimulus5_B,raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,328.135668705867,A,C,raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH,260.467795004755,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,ewan_59,stimulus6_B,raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,328.135668705867,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,302.235961996074,A,C,raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
A,amelia_consonants_14,stimulus7_A,raw/amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,227.852610647871,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE,223.972453497724,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
A,ewan_56,stimulus8_A,raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,313.543137469054,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,256.128847396861,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_3,stimulus9_B,raw/amelia_consonants.wav,7.31359,7.932510000000001,APAH,amelia,C,A,p,279.170092433759,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,307.581771512427,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
B,amelia_consonants_46,stimulus10_B,raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,313.543137469054,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE,242.001862799038,I,C,raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
A,ewan_92,stimulus11_A,raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,279.170092433759,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH,262.905214216634,A,C,raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,amelia_consonants_3,stimulus12_A,raw/amelia_consonants.wav,7.31359,7.932510000000001,APAH,amelia,C,A,p,291.61431270542,A,C,raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH,307.581771512427,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
B,amelia_vowels_33,stimulus13_B,raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,479.810589337422,A,V,raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,381.94531564602,A,V,raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,amelia_consonants_7,stimulus14_B,raw/amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,267.197551597873,I,C,raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,256.128847396861,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
B,ewan_83,stimulus15_B,raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,291.61431270542,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH,346.894977661606,A,C,raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,ewan_87,stimulus16_A,raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,267.197551597873,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE,253.42111332646,I,C,raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
A,ewan_50,stimulus17_A,raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,347.066281697359,A,C,raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH,307.581771512427,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
B,ewan_56,stimulus18_B,raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,322.855085368199,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE,256.128847396861,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_55,stimulus19_B,raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,322.855085368199,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE,274.094580366487,I,C,raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
A,amelia_consonants_49,stimulus20_A,raw/amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,347.066281697359,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH,285.626785127734,A,C,raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
A,amelia_consonants_7,stimulus21_A,raw/amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,229.64419488069,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE,256.128847396861,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
B,ewan_56,stimulus22_B,raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,257.458107177394,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE,256.128847396861,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
