CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
A,ewan_8,stimulus1_A,raw/ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,900.36795526894,I,V,raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI,846.830885826241,I,V,raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI
B,ewan_2,stimulus2_B,raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,1245.09096842319,A,V,raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,1039.24655290795,A,V,raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
A,ewan_101,stimulus3_A,raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,755.218843560083,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE,663.630387875089,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_71,stimulus4_A,raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,580.937180764696,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE,608.56236103306,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
B,amelia_consonants_20,stimulus5_B,raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,830.806534427931,A,C,raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH,645.173814052974,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,ewan_59,stimulus6_B,raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,830.806534427931,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,726.692034687311,A,C,raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
A,amelia_consonants_14,stimulus7_A,raw/amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,580.937180764696,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE,554.738664010094,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
A,ewan_56,stimulus8_A,raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,902.196097381908,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,636.551240838694,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_3,stimulus9_B,raw/amelia_consonants.wav,7.31359,7.932510000000001,APAH,amelia,C,A,p,817.581208552663,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,712.615893895977,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
B,amelia_consonants_46,stimulus10_B,raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,902.196097381908,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE,568.830613335176,I,C,raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
A,ewan_92,stimulus11_A,raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,817.581208552663,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH,638.523678021565,A,C,raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,amelia_consonants_3,stimulus12_A,raw/amelia_consonants.wav,7.31359,7.932510000000001,APAH,amelia,C,A,p,803.401205217348,A,C,raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH,712.615893895977,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
B,amelia_vowels_33,stimulus13_B,raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,1245.09096842319,A,V,raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,939.782770446356,A,V,raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,amelia_consonants_7,stimulus14_B,raw/amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,794.658461650481,I,C,raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,636.551240838694,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
B,ewan_83,stimulus15_B,raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,803.401205217348,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH,848.823030902515,A,C,raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,ewan_87,stimulus16_A,raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,794.658461650481,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE,603.016470866754,I,C,raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
