labels,stat_econ,stat_loc,stat_glob
pʰ,0.016685205784204626,0.1084538375973304,0.0749858517260894
d̪;d̻,0.21836228287841197,0.009305210918114204,0.17183622828784118
t̪,0.21836228287841197,0.009305210918114204,0.07568238213399503
l̪,0.21836228287841197,-0.09491315136476425,0.1110421836228288
n̪;n̻,0.21836228287841197,-0.014267990074441683,0.07133995037220842
tʃʰ;tɕʰ,0.016685205784204626,0.1062291434927698,0.021788341822297608
ɽ,0.07706093189964158,0.13261648745519716,0.1553166069295101
ɳ,0.3817204301075269,0.125,-0.07661290322580644
ʈ;ʈʲ;ʈɽ,0.3817204301075269,0.18279569892473124,-0.08870967741935482
kʰ;kxʰ,0.016685205784204626,0.10873192436040047,0.06847764572722126
mʰ;m̤,0.016685205784204626,0.1062291434927698,0.053763440860215006
ɡʰ,0.016685205784204626,0.1062291434927698,0.15166949632144877
t̪ʰ,0.20010934937124114,0.15500273373428097,0.13014460511679649
d̪ʰ,0.20010934937124114,0.15500273373428097,0.2191323692992213
dʒʰ,0.016685205784204626,0.1062291434927698,0.12393887945670634
ʈʰ,0.04786680541103017,0.08818938605619153,0.1739820200951877
ɖʰ,0.04786680541103017,0.08532778355879289,0.24748810153358014
bʰ,0.016685205784204626,0.1062291434927698,0.1683644595359366
ɖ;ɖʲ;ɖɽ,0.3817204301075269,0.16935483870967738,0.032258064516129004
z,0,0.15244536940686781,0.20645161290322578
ɣ,0.23671726755218225,0.13851992409867175,0.12666034155597727
x,0.29543666404405977,0.19313482216708022,-0.03618134263295553
