_segment,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
tʃ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
ʔ,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-
ã,-,-,+,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,-,-,+,-
ʌ,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ɛ̃,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-
ĩ,-,-,-,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
p,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ɯ̃,-,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
ʒ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
v,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-
z,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
tˠ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɾ,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
ç,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
ɣ,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-
ð,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-
ðˠ,+,-,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-
ɟʝ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
lˠ,+,-,+,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
θ,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-
sˠ,+,-,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
dˠ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
x,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
kʲ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ɡʲ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
tˤ,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-
χ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
ðˤ,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,+,+,-
sˤ,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,+,-,+,-,-
ʁ,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-
q,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ə,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
qʰʷ,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,+
ʈʂʼ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
tʰ,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
ʔʷ,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+
t̻ɕʰ,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-
ɕʰ,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+,-,-
kʷ,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
ʐ,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
χʷ,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+
