_segment,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
ʊ̃,-,+,+,+,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,+
ɪ̃,-,-,-,+,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-
ɛ̃ː,-,-,-,-,-,-,-,+,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-
õː,-,+,+,-,+,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-,-,+,+
ãː,-,-,+,-,-,-,-,+,-,+,+,+,+,+,-,-,-,+,-,-,-,+,-
ĩː,-,-,-,+,+,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
ẽː,-,-,-,-,+,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
ɔ̃ː,-,+,+,-,-,-,-,+,-,-,+,+,+,+,-,-,-,+,-,-,-,+,+
ə̃,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-
ɟʰ,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-
r̪,+,-,-,-,-,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
ũː,-,+,+,+,+,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-,-,+,+
ᵑk,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
ɗ̪,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-
n̪t̪,+,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ᵑɡ,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
ᵐp,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
ⁿd̪,+,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
ᵐb,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
ⁿs,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,+,-,-
ɺ,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
r̥,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,-
ʋ,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
ᵐɡ͡b,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
ⁿt,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ɒː,-,+,+,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,+
ⁿtʃ,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,+,-,-
ⁿdʒ,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-
ᵐk͡p,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
ⁿd,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
r̥ʰ,+,-,-,-,-,-,-,-,+,-,-,+,-,+,+,+,-,-,-,-,+,-,-
ŋ̥ʰ,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-
ɲ̥ʰ,-,-,-,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-
l̥ʰ,+,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-
m̥ʰ,+,+,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-
fˡ,+,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
vˡ,+,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-
bˡ,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
pˡ,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
mˡ,+,+,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
N?,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
zʷ,+,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+
rː,+,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
v̥,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
ỹ,-,+,-,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,+
œ̃,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,+
ⁿʒ,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,+,-,+,+,-
ᵑɡ͡b,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
ei,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
yː,-,+,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ui,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
yi,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
øː,-,+,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
oi,-,+,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
dʲ,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
mʲ,+,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
lʲ,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
nʲ,+,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
tʲ,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
vʲ,+,+,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-
tsʲ,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
fʲ,+,+,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
zʲ,+,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
rʲ,+,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
bʲ,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
pʲ,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
t̪s̪,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
t̪͡c,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
pʲʰ,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
i̺,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
kʰʲ,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
tɕʰ,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-
ʝ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-
ɑː,-,-,+,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
ř,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,+,-,+,+,-
n̪ʲ,+,-,-,+,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
t̪ʲ,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
d̪ʲ,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ɨ̞,-,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
xʷ,-,+,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+
mʷ,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+
ᵐbʷ,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+
ᵑɡʷ,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+
ⁿɖ,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
fʷ,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+
pʷ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
t̪͡k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
k͡pʲ,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ɡ͡bʲ,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
cʷ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
ŋ͡mʲ,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
lɥ,+,+,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,+
ɥ̥,-,+,-,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,+
sɥ,+,+,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+
ɟʷ,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+
cɕʰ,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
cɕ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
tçʰ,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
ɰ,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
tç,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ɨ̃,-,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
mʼ,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,+,+,-
wʼ,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,+,+
ʕʷ,-,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,+
qʼʷ,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+
ʕʼʷ,-,+,+,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,+,+,+
ʀʼ,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,-,-,+,+,-
jʼ,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,+,-
ʕʼ,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,+,+,-
ʀ,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,+,+,-
n’,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,+,-
lʼ,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,+,+,-,-,+,+,-
ʔd,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-
ʔb,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-
e̝ː,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
a̝,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
o̝ː,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ⁿdz,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-
k͡pʷ,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
ɡ͡bʷ,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+
kf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
ɣʷ,-,+,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+
cʼ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
xʼ,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,+,-,-
ǀ,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ⁿdɮ,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
ⁿǀ,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ɗʒ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,-
n̻,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
d̻,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ɔi,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
au,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ʏ,-,+,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
ʔm,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,+,+,-
ʔl,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-
cç,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ʎ̥,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-
ɠ,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-
ʄ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-
N̩,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,+,+,-
oʊ,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
aʊ,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ɜː,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
aɪ,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
eɪ,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
w̃,+,+,+,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,-
j̃,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,-
ɴ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
ɢ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
k̂,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ɡ̂͡b̂,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ts,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
ɡ̂,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
k̂͡p̂,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
dz,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,-
t̻s̻,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
ʊː,-,+,+,+,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
je,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
jeː,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɪː,-,-,-,+,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ʊʏ̯,-,-,-,+,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ʉ,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ai̯,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɔi̯,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ⁿɟ,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
ⁿr,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,-,+,+,-
ɤː,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɯː,-,-,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ʃ̀,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-
k̀ʷ,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+
χ̀,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-
x̀ʷ,-,+,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,+
x̀,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-
k̀,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
tʃ̀,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
χ̀ʷ,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,+
s̀,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-
ts̀,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
t̪̀,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
ɬ̀,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,+,-,-
ⁿz,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,+,+,-
l̟,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
n̟,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
r̟ʲ,+,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
hʲ,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-
l̟ʲ,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
ṽʲ,+,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,+,-
r̟,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
xʲ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
n̟ʲ,+,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
m̥,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-
n̥,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-
l̥,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-
omf,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ʍ,+,+,+,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-
emf,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
pː,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
dʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-
u̞,-,+,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
i̞,-,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
sʼ,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,-
ɠʷ,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,+
ɠʲ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-
v̌,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,+,+,-
ɽʰ,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,+,-,+,-,-,+,+,-
l̪ʰ,+,-,-,-,-,+,+,-,+,-,-,-,-,+,+,+,-,+,-,-,+,+,-
n̪ʰ,+,-,-,-,-,-,+,-,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-
tθʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
m̤,+,+,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,+,-
v̤,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,+,-,+,+,-
n̂,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
d̂,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
t̂,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
n̤,+,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-
l̤,+,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,-,+,-,-,+,+,-
z̤,+,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,+,-,+,+,-
ʒ̤,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,+,-
ʃ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-
b̂,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ɵ,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ɓ̥ˠ,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-
ɾˡ,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
ɲ͡n̪,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
t̪s̪ʼ,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
bʼ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-
cçʰ,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
cçʼ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
t̻ʃ̻,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
d̻ʒ̻,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
tsjʰ,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-
ʈʲ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɾʲ,+,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
ɖʲ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ɨː,-,-,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
tʲʰ,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
ə̃ː,-,-,+,-,-,-,-,+,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-
ɨ̃ː,-,-,+,+,+,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
ʋʲ,+,+,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
ʈʲʰ,-,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
ʒ̥,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
fʼ,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,+,-,+,-,-
ŏ,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,+,-,+,+
ø̆,-,+,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,+,-,+,+
ă,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,+,-,+,-
ə̆,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,+,-,+,-
p͡kʰ,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
dʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,+
d̪z̪,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
b͡ɡ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
t̪s̪ʱ,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
t̪s̪ʰ,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-
kʷʱ,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
tʃʱ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
wʱ,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
d̪z̪ʷ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,+
t̪s̪ʰʷ,+,+,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+
tʱ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
pʱ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ʊ̃ː,-,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,-,+,-,-,-,+,+
ʌ̃ː,-,-,+,-,-,-,-,+,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-
ʌː,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ɪ̃ː,-,-,-,+,-,-,-,+,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-
ə̝,-,-,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
dʰ,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-
eu,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ou,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ɠ͡ɓ,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-
