labels,stat_econ,stat_loc,stat_glob
ɡʷ,0.20239334027055145,0.1571279916753382,0.14672216441207075
ts;tz,0.341831425598335,0.23709677419354835,0.0026881720430107503
ɬ,0.08333333333333326,0.11385199240986721,0.23529411764705888
ʁʷ,0.2840501792114696,0.09867172675521818,0.11053130929791277
ɮ,0.08333333333333326,0.11385199240986721,0.3159392789373814
tʼ;tθʼ;ʔt,0,0.15244536940686781,0.20645161290322578
dz,0.341831425598335,0.23709677419354835,0.14032258064516134
kʼʷ;kʷʼ,0.12346041055718471,0.10527859237536652,-0.043401759530791784
tsʼ;tzʼ,0.341831425598335,0.23709677419354835,0.0026881720430107503
pʼ;ʔp,0,0.15244536940686781,0.07795698924731187
qʷ,0.1743308167467399,0.09094028826355527,0.03946465339739191
qʼ,0.09503051438535315,0.1303400174367917,0.06877240143369179
xʷ,0.33422939068100344,0.1362007168458781,-0.01290322580645159
v,0,0.15244536940686781,0.11236559139784952
qʼʷ;qʷʼ,0.13824884792626724,0.14013405948889823,0.045873481357352364
cʼ;cçʼ;kʼʲ;qʼʲ,0.11480075901328268,0.19663187855787478,0.09433040078201371
dz,0.341831425598335,0.23709677419354835,0.14032258064516134
ħ;χˤ,0.22580645161290325,0.09462365591397848,0.09750733137829914
z,0,0.15244536940686781,0.20645161290322578
ɣ,0.23671726755218225,0.13851992409867175,0.12666034155597727
ɟʝ;ɡʲ;ɟ;b͡ʝ,0.26099706744868034,0.10997067448680353,0.11803519061583578
x,0.29543666404405977,0.19313482216708022,-0.03618134263295553
kʲ;c;cç;b͡ç;ɟ̥;qʲ,0.26099706744868034,0.09164222873900296,0.04985337243401766
χ,0.22360703812316718,0.06818181818181823,0.05606758832565284
ʁ,0.2456575682382134,0.03184449958643509,0.17493796526054595
q;qχ,0.26099706744868034,-0.05131964809384165,-0.04765395894428148
kʷ;kʷʱ,0.20239334027055145,0.15036420395421435,0.024973985431841816
χʷ,0.33456221198156677,0.15668202764976957,0.01185958254269448
