label,kbd_prime
ǂqʰ,0
ħʷ;χˤʷ,0
ɲ̥,0
cʃ;ɲ̥cʃ,0
ŋ̥,0
ɟ,0
c,0
ɾ,0
θ,0
l̪ʲ,0
ɲ;ᵐɲ,0
z̪ʲ,0
d̪z̪ʲ,0
t̺s̺ʲ,0
s̪ʲ,0
mˠ,0
ɟʑ,0
r̪ʲ,0
ʃtʃ,0
ts͡kʷ,0
z͡ɣw;zʷ͡ɣw,0
ʒ͡ɣw,0
dɣw,0
nŋw,0
r͡ɣw,0
dʒ͡ɣʷ,0
s͡kʷ,0
tʃ͡k,0
ɲ͡ŋ,0
dzʷ,0
dzɣw,0
ɲ͡ŋw,0
ɺ;l;ʔl,0
pʃʼ,0
bʒ;d̪ʒ,0
fʃ,0
tɸʰ,0
ɴʼ,0
t̪ʃ,0
l̪θ,0
ɣʼ,0
zʼ,0
t̪ʷ,0
qˤ,0
ɢˤ,0
tʃʷʼ,0
qˤʼ;qʼˤ,0
ʛ,0
rˤ,0
vˤ,0
qʼˤʷ,0
pʼˤ,0
qˤʷ,0
l̃,0
r̥,0
ŋʼ,0
pʰʷ,0
pʷʼ,0
tʲʼ,0
m̏,0
n̏,0
ɣʰ,0
ʒʰ,0
θʼ,0
n̪ʼ,0
l̪ʼ,0
mnl,0
klʼ,0
z,0
tˠ;ǃ;ǃq;ǃx;ǃʒ;ǃʃ;ǃd;ǃs;ǃr;ǃt;ǃz,0
ɾ;ɾð,0
ç;xʲ;χʲ,0
ɣ,0
ðˠ,0
ɟʝ;ɡʲ;ɟ;b͡ʝ,0
lˠ,0
ɡ,0
sˠ,0
dˠ;ɡǃkx;ɡǃx;ɡǃ,0
x,0
kʲ;c;cç;b͡ç;ɟ̥;qʲ,0
tˤ,0
χ,0
ðˤ,0
sˤ,0
ʁ,1
ɣ;ɣ̀,0
q;qχ,0
qʰʷ,0
ʈʂʼ;tʂʼ,0
tʰ,0
t̻ɕʰ,0
ɕʰ,0
kʷ;kʷʱ,0
ʐ,0
χʷ,0
