"","effect","mean","prob_smaller","prob_greater","min","max","l95","h95","l90","h90","l85","h85","l80","h80"
"1","delta_dist_sub",-0.374366863961524,1,0,-0.718303912025045,-0.0192287109526586,-0.564480383801192,-0.192538594027746,-0.528727355182983,-0.219733072773731,-0.509387515326401,-0.239111430601326,-0.492054662996648,-0.254652576943684
"2","var1",-0.793017923041753,0.674666666666667,0.325333333333333,-6.67615977985078,5.80955934095695,-4.25902459362773,2.69050179793911,-3.70685657202657,2.16454607909278,-3.30616734192091,1.78241738076003,-3.04059139581203,1.49203997956967
"3","var2",-0.68027678018728,0.681,0.319,-5.85109904900182,5.00028251252245,-3.48756103260931,2.24674043037592,-3.05934786525013,1.75952701658703,-2.76773248993719,1.43366228942583,-2.54697506666446,1.19867273713878
"4","var3",-0.468060775138315,0.682833333333333,0.317166666666667,-4.17676016564285,3.35819329883131,-2.43108260424142,1.48236187513566,-2.10691202608072,1.1699343918406,-1.87510565942915,0.949507755943534,-1.70977187373597,0.780358225094801
"5","subject_languageFrench",-1.49953900021813,0.837333333333333,0.162666666666667,-7.87603490779382,3.79718744871258,-4.48098180154479,1.54408860829475,-3.96409199080305,1.08499368292639,-3.64537946380926,0.722882965598557,-3.41478383334535,0.464012722533955
"6","var1:subject_languageFrench",2.19160019155048,0.165166666666667,0.834833333333333,-6.14646082649418,10.8003680052062,-2.21021080322621,6.66112327291063,-1.50478122554321,5.93457162390669,-1.09859926975837,5.48416086731623,-0.709889912700797,5.10326225783964
"7","var2:subject_languageFrench",0.940585956254988,0.314666666666667,0.685333333333333,-5.79061135821141,8.37408251576572,-2.8398755805662,4.67092519940886,-2.22715010499068,4.06144612740327,-1.83938174753833,3.68434119698805,-1.54250194613794,3.35381625807605
"8","var3:subject_languageFrench",0.496113474291335,0.345333333333333,0.654666666666667,-4.03088146091089,5.29718165399991,-1.96640496876515,2.96645836459611,-1.54555608269773,2.57600635327242,-1.26725969798521,2.32822436041119,-1.10364479244637,2.11214415447429
