"","subject_id","tripletid","delta_dist_sub","subject_language","user_corr","phone_OTH","phone_TGT","phone_TGT_nat_non","phone_OTH_nat_non","cross_lang","glob","loc","econ"
"1","X_USOZJQCKNP","stimulus137_A",-0.57992946512703,"English",1,"t","s","nonnat","native","cross_lang",0.5,0.696969696969697,0.0647773279352227
"2","X_USOZJQCKNP","stimulus35_B",0.27247605185589,"English",1,"æ","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
"3","X_USOZJQCKNP","stimulus144_A",-0.378083086339941,"English",1,"θ","t","native","nonnat","cross_lang",0.476190476190476,0.666666666666667,0.0298804780876494
"4","X_USOZJQCKNP","stimulus140_A",-0.0425187088615608,"English",1,"s","t","native","nonnat","cross_lang",0.476190476190476,0.666666666666667,0.0298804780876494
"5","X_USOZJQCKNP","stimulus132_A",-0.00026432520234998,"English",1,"ʃ","t","native","nonnat","cross_lang",0.476190476190476,0.666666666666667,0.0298804780876494
"6","X_USOZJQCKNP","stimulus48_A",1.00837400281545,"English",1,"i","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
"7","X_USOZJQCKNP","stimulus141_A",-1.39375035840988,"English",1,"t","θ","nonnat","native","cross_lang",0.428571428571429,0.712121212121212,0.0298804780876494
"8","X_USOZJQCKNP","stimulus44_A",-0.27772720850383,"English",1,"i","ʌ","nonnat","native","cross_lang",0.48,0.651515151515151,0.047328903011436
"9","X_USOZJQCKNP","stimulus142_B",-0.67948216867949,"English",1,"t","θ","nonnat","native","cross_lang",0.428571428571429,0.712121212121212,0.0298804780876494
"10","X_USOZJQCKNP","stimulus46_B",-0.59072733249076,"English",1,"u","i","native","nonnat","cross_lang",0.382783882783883,0.621212121212121,0.141666666666667
"11","X_USOZJQCKNP","stimulus139_B",-0.33049379692284,"English",1,"s","t","native","nonnat","cross_lang",0.476190476190476,0.666666666666667,0.0298804780876494
"12","X_USOZJQCKNP","stimulus34_B",-1.78779106812845,"English",1,"u","æ","native","nonnat","cross_lang",0.6,0.687770562770563,0.0647773279352227
"13","X_USOZJQCKNP","stimulus43_B",-1.48090757899657,"English",1,"i","ʌ","nonnat","native","cross_lang",0.48,0.651515151515151,0.047328903011436
"14","X_USOZJQCKNP","stimulus47_B",0.0205296637011694,"English",1,"i","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
"15","X_USOZJQCKNP","stimulus36_A",-0.93031904250185,"English",1,"æ","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
