"","effect","mean","prob_smaller","prob_greater","min","max","l95","h95","l90","h90","l85","h85","l80","h80"
"1","delta_dist_sub",-0.416106714211776,0.999833333333333,0.000166666666666667,-0.806825183097042,0.0188789185672255,-0.644731616791921,-0.194854219102389,-0.606818746203935,-0.228551449441172,-0.579557717957919,-0.251901620035628,-0.563106340548863,-0.268041507697675
"2","econ",1.66423792025895,0.264666666666667,0.735333333333333,-8.7461444245774,11.0371880158689,-3.43222394086933,6.79758994838109,-2.61653545259915,5.92117715576387,-2.08717435907163,5.42044908082461,-1.69393959593331,5.048147266436
"3","glob",-1.35528722765206,0.828333333333333,0.171666666666667,-6.85523179342931,4.92148364133644,-4.24620124222552,1.41294391031643,-3.73309981639294,1.02355255304553,-3.44876577593889,0.743499012596067,-3.24053949390521,0.486872671589451
"4","loc",-1.89732605164758,0.817,0.183,-10.0398162396441,6.76275685281924,-6.03245161639084,2.24852459517184,-5.34281483918253,1.56456745809315,-4.92378742631887,1.13713205949809,-4.57657456323279,0.783415202895972
"5","subject_languageFrench",2.57747648156349,0.126833333333333,0.873166666666667,-6.11765337855104,10.6950513632923,-1.8757647152057,6.92297523979187,-1.16936172202419,6.2267208216021,-0.715831130043108,5.86007966159398,-0.337809481269051,5.45815790115376
"6","econ:subject_languageFrench",-7.60184562370456,0.9905,0.0095,-18.8488351156704,3.7228467609568,-13.7990116123427,-1.35336481174776,-12.818053359253,-2.53315229394629,-12.1427797257586,-3.17711184880672,-11.5934824257812,-3.65517798992238
"7","glob:subject_languageFrench",-2.79311018326588,0.9485,0.0515,-9.28446772803318,3.16056414369085,-6.19869236387831,0.664632773597831,-5.65190325629376,0.020826247333972,-5.26762072830959,-0.338338294924566,-4.98723927161643,-0.601148855982359
"8","loc:subject_languageFrench",-1.75090027989375,0.7575,0.2425,-11.5768852755194,9.64973972920899,-6.65064049873699,3.15733490862886,-5.92378047220127,2.35043932944414,-5.33882160924052,1.91260447391053,-4.96082713946453,1.49663927073949
