login,[orderSI=0,orderAI=0],None,None,0:13.5,0;,[]
media_test,[audio,triplet_t00000000001,orderSI=1,orderAI=1],2,None,0:11.8,1;,[]
consent,[prot_demo_consent,orderSI=2,orderAI=2],None,None,0:2.3,2;,[]
valsurvey,[presurvey,orderSI=3,orderAI=3],None,None,0:22.3,3;,1,0,0,0,0,0,0,1,English,English,English,0,1,0,1,0,1,0,1,0,1,0,1
text_page,[prot_instr1,bindSubmitKeyIDList=,[space],orderSI=4,orderAI=4],None,None,0:4.2,4;,[]
text_page,[prot_instr2,bindSubmitKeyIDList=,[space],orderSI=5,orderAI=5],None,None,0:5.5,5;,[]
text_page,[prot_instr3,bindSubmitKeyIDList=,[space],orderSI=6,orderAI=6],None,None,0:0.7,6;,[]
text_page,[prot_announcement_catch_trial,bindSubmitKeyIDList=,[space],orderSI=7,orderAI=7],None,None,0:0.5,7;,[]
media_choice,[prot_catch_trial,audio,0.5,1,1,[[practice_t00000009033]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=8,orderAI=8],1,None,0:10.6,8;,0,1
media_choice,[prot_catch_trial,audio,0.5,1,1,[[practice_t00000018860]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=9,orderAI=9],1,None,0:5.2,9;,1,0
media_choice,[prot_catch_trial,audio,0.5,1,1,[[practice_t00000019593]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=10,orderAI=10],1,None,0:5.1,10;,0,1
media_choice,[prot_catch_trial,audio,0.5,1,1,[[practice_t00000027525]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=11,orderAI=11],1,None,0:2.8,11;,1,0
media_choice,[prot_catch_trial,audio,0.5,1,1,[[practice_t00000074757]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=12,orderAI=12],1,None,0:3.0,12;,0,1
media_choice,[prot_catch_trial,audio,0.5,1,1,[[practice_t00000103879]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=13,orderAI=13],1,None,0:2.4,13;,1,0
media_choice,[prot_catch_trial,audio,0.5,1,1,[[practice_t00000008895]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=14,orderAI=14],1,None,0:2.3,14;,0,1
media_choice,[prot_catch_trial,audio,0.5,1,1,[[practice_t00000008454]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=15,orderAI=15],1,None,0:2.1,15;,1,0
text_page,[announcement_one_play_two_responses,bindSubmitKeyIDList=,[space],orderSI=16,orderAI=16],None,None,0:0.0,16;,[]
text_page,[announcement_one_play_two_responses2,bindSubmitKeyIDList=,[space],orderSI=17,orderAI=17],None,None,0:0.6,17;,[]
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000101386]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=58,orderAI=18],1,None,0:3.6,18;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000013293]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=66,orderAI=19],1,None,0:4.4,19;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000054803]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=23,orderAI=20],1,None,0:2.3,20;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000043753]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=22,orderAI=21],1,None,0:2.1,21;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000048033]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=47,orderAI=22],1,None,0:2.0,22;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000014662]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=43,orderAI=23],1,None,0:2.3,23;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000099683]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=59,orderAI=24],1,None,0:2.8,24;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000061434]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=45,orderAI=25],1,None,0:2.5,25;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000001209]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=38,orderAI=26],1,None,0:3.7,26;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000041801]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=46,orderAI=27],1,None,0:34.5,27;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000094079]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=44,orderAI=28],1,None,0:1.8,28;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000017936]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=27,orderAI=29],1,None,0:2.2,29;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000020237]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=53,orderAI=30],1,None,0:3.0,30;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000076246]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=64,orderAI=31],1,None,0:2.0,31;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000103774]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=55,orderAI=32],1,None,0:2.5,32;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[attention_check_english_J_normalise]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=71,orderAI=33],1,None,0:4.7,33;,0,1
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000076038]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=63,orderAI=34],1,None,0:4.7,34;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000015136]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=51,orderAI=35],1,None,0:2.2,35;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000086662]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=28,orderAI=36],1,None,0:3.0,36;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000101594]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=57,orderAI=37],1,None,0:2.4,37;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000016458]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=24,orderAI=38],1,None,0:2.1,38;,1,0
media_choice,[one_play_two_responses,audio,0.5,1,1,[[triplet_t00000082998]],[1,2],bindPlayKeyIDList=,[space],bindResponseKeyIDList=,[f,j],orderSI=31,orderAI=39],1,None,0:2.4,39;,1,0
