_segment,_spec_id,econ,loc,glob
X,Spec1,0.06477732793522267,0.8787878787878788,0.5555555555555556
X,Spec2,0.06477732793522267,0.7575757575757576,0.5555555555555556
X,Spec3,0.06477732793522267,0.9393939393939394,0.8
X,Spec4,0.06477732793522267,0.7878787878787878,0.6
X,Spec5,0.06477732793522267,0.8181818181818182,0.2
X,Spec6,0.06477732793522267,0.696969696969697,0.29411764705882354
X,Spec7,0.06477732793522267,0.8484848484848485,0.5
X,Spec8,0.06477732793522267,0.7575757575757576,0.3333333333333333
X,Spec9,0.013820335636722606,0.6785714285714286,0.48148148148148145
X,Spec10,0.013820335636722606,0.6071428571428571,0.36
X,Spec11,0.013820335636722606,0.6785714285714286,0.6666666666666666
X,Spec12,0.029880478087649404,0.6363636363636364,0.5769230769230769
X,Spec13,0.06477732793522267,0.8484848484848485,0.42857142857142855
X,Spec14,0.06477732793522267,0.7575757575757576,0.5
X,Spec15,0.06477732793522267,0.9090909090909091,0.6666666666666666
X,Spec16,0.06477732793522267,0.7878787878787878,0.5333333333333333
X,Spec17,0.029880478087649404,0.6060606060606061,0.32
X,Spec18,0.029880478087649404,0.5151515151515151,0.32142857142857145
X,Spec19,0.029880478087649404,0.6363636363636364,0.5384615384615384
X,Spec20,0.029880478087649404,0.5454545454545454,0.3333333333333333
X,Spec21,0.029880478087649404,0.6363636363636364,0.3076923076923077
X,Spec22,0.029880478087649404,0.5454545454545454,0.25
X,Spec23,0.029880478087649404,0.6363636363636364,0.5
X,Spec24,0.029880478087649404,0.6060606060606061,0.24
X,Spec25,0.029880478087649404,0.5757575757575758,0.44
X,Spec26,0.029880478087649404,0.48484848484848486,0.4482758620689655
X,Spec27,0.029880478087649404,0.6060606060606061,0.6
X,Spec28,0.029880478087649404,0.5151515151515151,0.42857142857142855
