_segment,_spec_id,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
X,Spec1,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec2,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec3,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True
X,Spec4,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec5,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True
X,Spec6,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec7,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True
X,Spec8,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec9,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True
X,Spec10,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec11,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec12,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec13,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec14,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True
X,Spec15,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True
X,Spec16,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True
X,Spec17,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True
X,Spec18,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True
X,Spec19,False,True,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True
X,Spec20,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True
X,Spec21,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True
X,Spec22,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
X,Spec23,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec24,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
X,Spec25,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False
X,Spec26,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec27,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False
X,Spec28,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False
X,Spec29,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec30,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec31,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec32,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec33,False,False,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
X,Spec34,False,False,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True
X,Spec35,False,False,True,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False
X,Spec36,False,False,True,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False
X,Spec37,False,False,True,True,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
X,Spec38,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True
X,Spec39,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True
X,Spec40,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True
X,Spec41,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True
X,Spec42,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True
X,Spec43,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True
X,Spec44,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True
