File1,Silence1,File2,Silence2,File3,CORR_ANS,filename,tripletid,ACTUAL_FILES
ewan_EETHEE3.wav,500ms_silence.wav,ewan_EESHEE2.wav,500ms_silence.wav,amelia_EESHEE2.wav,B,stimulus126,stimulus126_B,stimulus126_B
ewan_ASHAH4.wav,500ms_silence.wav,ewan_ATHAH2.wav,500ms_silence.wav,amelia_ATHAH2.wav,B,stimulus127,stimulus127_B,stimulus127_B
amelia_EETHEE3.wav,500ms_silence.wav,amelia_EESHEE2.wav,500ms_silence.wav,ewan_EETHEE3.wav,A,stimulus128,stimulus128_A,stimulus128_A
ewan_EESHEE2.wav,500ms_silence.wav,ewan_EETEE3.wav,500ms_silence.wav,amelia_EESHEE2.wav,A,stimulus129,stimulus129_A,stimulus129_A
amelia_ATAH2.wav,500ms_silence.wav,amelia_ASHAH4.wav,500ms_silence.wav,ewan_ASHAH4.wav,B,stimulus130,stimulus130_B,stimulus130_B
ewan_ASHAH4.wav,500ms_silence.wav,ewan_ATAH2.wav,500ms_silence.wav,amelia_ATAH2.wav,B,stimulus131,stimulus131_B,stimulus131_B
amelia_EETEE3.wav,500ms_silence.wav,amelia_EESHEE2.wav,500ms_silence.wav,ewan_EETEE3.wav,A,stimulus132,stimulus132_A,stimulus132_A
ewan_EESSEE2.wav,500ms_silence.wav,ewan_EETHEE3.wav,500ms_silence.wav,amelia_EESSEE2.wav,A,stimulus133,stimulus133_A,stimulus133_A
ewan_ATHAH2.wav,500ms_silence.wav,ewan_ASSAH4.wav,500ms_silence.wav,amelia_ASSAH4.wav,B,stimulus134,stimulus134_B,stimulus134_B
amelia_EESSEE2.wav,500ms_silence.wav,amelia_EETHEE3.wav,500ms_silence.wav,ewan_EETHEE3.wav,B,stimulus135,stimulus135_B,stimulus135_B
amelia_ATHAH2.wav,500ms_silence.wav,amelia_ASSAH4.wav,500ms_silence.wav,ewan_ATHAH2.wav,A,stimulus136,stimulus136_A,stimulus136_A
amelia_ASSAH4.wav,500ms_silence.wav,amelia_ATAH2.wav,500ms_silence.wav,ewan_ASSAH4.wav,A,stimulus137,stimulus137_A,stimulus137_A
ewan_EETEE3.wav,500ms_silence.wav,ewan_EESSEE2.wav,500ms_silence.wav,amelia_EESSEE2.wav,B,stimulus138,stimulus138_B,stimulus138_B
amelia_EESSEE2.wav,500ms_silence.wav,amelia_EETEE3.wav,500ms_silence.wav,ewan_EETEE3.wav,B,stimulus139,stimulus139_B,stimulus139_B
ewan_ATAH2.wav,500ms_silence.wav,ewan_ASSAH4.wav,500ms_silence.wav,amelia_ATAH2.wav,A,stimulus140,stimulus140_A,stimulus140_A
amelia_EETHEE2.wav,500ms_silence.wav,amelia_EETEE3.wav,500ms_silence.wav,ewan_EETHEE2.wav,A,stimulus141,stimulus141_A,stimulus141_A
ewan_EETEE3.wav,500ms_silence.wav,ewan_EETHEE2.wav,500ms_silence.wav,amelia_EETHEE2.wav,B,stimulus142,stimulus142_B,stimulus142_B
ewan_ATHAH4.wav,500ms_silence.wav,ewan_ATAH2.wav,500ms_silence.wav,amelia_ATAH2.wav,B,stimulus143,stimulus143_B,stimulus143_B
amelia_ATAH2.wav,500ms_silence.wav,amelia_ATHAH4.wav,500ms_silence.wav,ewan_ATAH2.wav,A,stimulus144,stimulus144_A,stimulus144_A
